method,scenario,topology_a,topology_b,ordered_pair_label,latent_spearman,metric_spearman,delta_spearman,metric_spearman_column,n_observations,source_csv,ordered_topology_pairs,mesh_pair_level,chamfer_spearman,latent_pearson,chamfer_pearson,delta_pearson,model_beats_chamfer,n_subjects,n_subject_pairs,n_mesh_pairs,chamfer_seconds_mean,chamfer_seconds_median,total_pair_seconds_mean,total_pair_seconds_median,output_dir,output_json,output_csv,output_md,registered_chamfer_spearman,registered_chamfer_pearson,model_beats_registered_chamfer,rigid_icp_seconds_mean,rigid_icp_seconds_median,nonrigid_cpd_seconds_mean,nonrigid_cpd_seconds_median,warp_seconds_mean,warp_seconds_median,registration_seconds_mean,registration_seconds_median,nicp_correspondence_spearman,nicp_correspondence_pearson,model_beats_nicp_correspondence,nonrigid_nicp_seconds_mean,nonrigid_nicp_seconds_median,metric_seconds_mean,metric_seconds_median
raw_chamfer,,original,crop,original__to__crop,0.770836,0.092863,0.677972,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_level-subject_pair_mean/original__to__crop/ranking_summary.csv,1,0,0.092863,0.800945,0.217071,0.583874,1,100,4950,4950,,,,,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,,original,down8k,original__to__down8k,0.772341,0.240268,0.532073,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_level-subject_pair_mean/original__to__down8k/ranking_summary.csv,1,0,0.240268,0.795872,0.308753,0.487119,1,100,4950,4950,,,,,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,,original,noisy,original__to__noisy,0.822388,0.627356,0.195032,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_level-subject_pair_mean/original__to__noisy/ranking_summary.csv,1,0,0.627356,0.846550,0.641630,0.204920,1,100,4950,4950,,,,,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,,original,remesh,original__to__remesh,0.761843,0.553160,0.208683,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_level-subject_pair_mean/original__to__remesh/ranking_summary.csv,1,0,0.553160,0.784246,0.580553,0.203694,1,100,4950,4950,,,,,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,,original,up60k,original__to__up60k,0.786672,0.413965,0.372708,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_level-subject_pair_mean/original__to__up60k/ranking_summary.csv,1,0,0.413965,0.811031,0.446480,0.364551,1,100,4950,4950,,,,,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,,remesh,crop,remesh__to__crop,0.684899,0.101850,0.583049,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_level-subject_pair_mean/remesh__to__crop/ranking_summary.csv,1,0,0.101850,0.725806,0.224112,0.501694,1,100,4950,4950,,,,,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,,remesh,down8k,remesh__to__down8k,0.795735,0.338333,0.457401,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_level-subject_pair_mean/remesh__to__down8k/ranking_summary.csv,1,0,0.338333,0.824835,0.393437,0.431398,1,100,4950,4950,,,,,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,,remesh,noisy,remesh__to__noisy,0.784484,0.621048,0.163436,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_level-subject_pair_mean/remesh__to__noisy/ranking_summary.csv,1,0,0.621048,0.815469,0.669457,0.146012,1,100,4950,4950,,,,,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,,remesh,original,remesh__to__original,0.770669,0.622336,0.148333,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_level-subject_pair_mean/remesh__to__original/ranking_summary.csv,1,0,0.622336,0.804695,0.669434,0.135261,1,100,4950,4950,,,,,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,,remesh,up60k,remesh__to__up60k,0.805621,0.525408,0.280213,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_level-subject_pair_mean/remesh__to__up60k/ranking_summary.csv,1,0,0.525408,0.833404,0.561802,0.271602,1,100,4950,4950,,,,,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,,up60k,crop,up60k__to__crop,0.705220,0.061105,0.644115,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_level-subject_pair_mean/up60k__to__crop/ranking_summary.csv,1,0,0.061105,0.746336,0.182602,0.563734,1,100,4950,4950,,,,,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,,up60k,down8k,up60k__to__down8k,0.798419,0.563795,0.234624,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_level-subject_pair_mean/up60k__to__down8k/ranking_summary.csv,1,0,0.563795,0.827973,0.599204,0.228769,1,100,4950,4950,,,,,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,,up60k,noisy,up60k__to__noisy,0.797932,0.596890,0.201042,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_level-subject_pair_mean/up60k__to__noisy/ranking_summary.csv,1,0,0.596890,0.829819,0.638018,0.191802,1,100,4950,4950,,,,,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,,up60k,original,up60k__to__original,0.788413,0.539300,0.249113,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_level-subject_pair_mean/up60k__to__original/ranking_summary.csv,1,0,0.539300,0.822885,0.592041,0.230844,1,100,4950,4950,,,,,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,,up60k,remesh,up60k__to__remesh,0.800763,0.573409,0.227354,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_level-subject_pair_mean/up60k__to__remesh/ranking_summary.csv,1,0,0.573409,0.828871,0.623813,0.205058,1,100,4950,4950,,,,,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,clean,crop,down8k,crop__to__down8k,0.667637,-0.093080,0.760717,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_noicp/clean/crop__to__down8k/ranking_summary.csv,1,1,-0.093080,0.692858,-0.026261,0.719118,1,100,4950,4950,0.025258,0.025258,0.025258,0.025258,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,clean,crop,noisy,crop__to__noisy,0.736932,-0.047672,0.784604,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_noicp/clean/crop__to__noisy/ranking_summary.csv,1,1,-0.047672,0.764510,0.043456,0.721054,1,100,4950,4950,0.025258,0.025258,0.025258,0.025258,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,clean,crop,original,crop__to__original,0.759814,-0.034682,0.794496,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_noicp/clean/crop__to__original/ranking_summary.csv,1,1,-0.034682,0.787829,0.056981,0.730848,1,100,4950,4950,0.025258,0.025258,0.025258,0.025258,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,clean,crop,remesh,crop__to__remesh,0.658349,-0.008462,0.666811,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_noicp/clean/crop__to__remesh/ranking_summary.csv,1,1,-0.008462,0.681207,0.084325,0.596882,1,100,4950,4950,0.025258,0.025258,0.025258,0.025258,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,clean,crop,up60k,crop__to__up60k,0.686665,-0.074077,0.760743,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_noicp/clean/crop__to__up60k/ranking_summary.csv,1,1,-0.074077,0.712348,0.003216,0.709133,1,100,4950,4950,0.025258,0.025258,0.025258,0.025258,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,clean,down8k,crop,down8k__to__crop,0.692248,0.036874,0.655374,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_noicp/clean/down8k__to__crop/ranking_summary.csv,1,1,0.036874,0.735631,0.152620,0.583011,1,100,4950,4950,0.025258,0.025258,0.025258,0.025258,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,clean,down8k,noisy,down8k__to__noisy,0.793218,0.471887,0.321331,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_noicp/clean/down8k__to__noisy/ranking_summary.csv,1,1,0.471887,0.826279,0.545617,0.280662,1,100,4950,4950,0.025258,0.025258,0.025258,0.025258,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,clean,down8k,original,down8k__to__original,0.780879,0.406846,0.374034,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_noicp/clean/down8k__to__original/ranking_summary.csv,1,1,0.406846,0.816663,0.500649,0.316013,1,100,4950,4950,0.025258,0.025258,0.025258,0.025258,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,clean,down8k,remesh,down8k__to__remesh,0.795255,0.436450,0.358806,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_noicp/clean/down8k__to__remesh/ranking_summary.csv,1,1,0.436450,0.824884,0.519262,0.305622,1,100,4950,4950,0.025258,0.025258,0.025258,0.025258,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,clean,down8k,up60k,down8k__to__up60k,0.803707,0.611294,0.192413,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_noicp/clean/down8k__to__up60k/ranking_summary.csv,1,1,0.611294,0.833792,0.658791,0.175000,1,100,4950,4950,0.025258,0.025258,0.025258,0.025258,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,clean,noisy,crop,noisy__to__crop,0.747472,0.083388,0.664084,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_noicp/clean/noisy__to__crop/ranking_summary.csv,1,1,0.083388,0.780813,0.208485,0.572328,1,100,4950,4950,0.025258,0.025258,0.025258,0.025258,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,clean,noisy,down8k,noisy__to__down8k,0.779347,0.313111,0.466236,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_noicp/clean/noisy__to__down8k/ranking_summary.csv,1,1,0.313111,0.803800,0.364727,0.439073,1,100,4950,4950,0.025258,0.025258,0.025258,0.025258,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,clean,noisy,original,noisy__to__original,0.820523,0.658937,0.161587,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_noicp/clean/noisy__to__original/ranking_summary.csv,1,1,0.658937,0.847855,0.678496,0.169358,1,100,4950,4950,0.025258,0.025258,0.025258,0.025258,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,clean,noisy,remesh,noisy__to__remesh,0.770576,0.578866,0.191710,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_noicp/clean/noisy__to__remesh/ranking_summary.csv,1,1,0.578866,0.793942,0.616524,0.177418,1,100,4950,4950,0.025258,0.025258,0.025258,0.025258,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,clean,noisy,up60k,noisy__to__up60k,0.790981,0.489375,0.301605,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_noicp/clean/noisy__to__up60k/ranking_summary.csv,1,1,0.489375,0.816460,0.516335,0.300125,1,100,4950,4950,0.025258,0.025258,0.025258,0.025258,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,clean,original,crop,original__to__crop,0.770836,0.092863,0.677972,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_noicp/clean/original__to__crop/ranking_summary.csv,1,1,0.092863,0.800945,0.217071,0.583874,1,100,4950,4950,0.025258,0.025258,0.025258,0.025258,,,,,,,,,,,,,,,,,,,,,,
