method,F,subject,within
INORig,1,id0080,108873.8849468438
INORig,1,id0081,80631.51271441001
INORig,1,id0082,70403.05951651075
INORig,1,id0083,87163.90140168807
INORig,1,id0084,69029.93867880672
INORig,1,id0085,89554.99152998017
INORig,1,id0086,96597.86641968449
INORig,1,id0087,73679.9433342596
INORig,1,id0088,102560.69483828491
INORig,1,id0089,93988.97471412818
INORig,1,id0090,123302.3519118323
INORig,1,id0091,91058.61704464523
INORig,1,id0092,93912.64612526573
INORig,1,id0093,99752.44972821658
INORig,1,id0094,90448.73273043841
INORig,1,id0095,82833.30241854387
INORig,1,id0096,102785.70462118865
INORig,1,id0097,69896.22608243834
INORig,1,id0098,95284.45606906629
INORig,2,id0000,71758.63913396001
INORig,2,id0001,62318.35834572471
INORig,2,id0002,54046.774312636386
INORig,2,id0003,73987.84845940681
INORig,2,id0004,64815.41566733338
INORig,2,id0005,62655.11673400665
INORig,2,id0006,61197.091089064685
INORig,2,id0007,56697.87202563913
INORig,2,id0008,52432.75457128978
INORig,2,id0009,58406.306440271124
INORig,2,id0010,61556.39882063433
INORig,2,id0011,70473.61450323866
INORig,2,id0012,60804.52660929502
INORig,2,id0013,53394.78712142718
INORig,2,id0014,66346.90131754508
INORig,2,id0015,58097.75825656014
INORig,2,id0016,46885.38679657719
INORig,2,id0017,75738.18064184986
INORig,2,id0018,50279.0342591673
INORig,2,id0019,59471.81870697552
INORig,2,id0020,80993.48960287347
INORig,2,id0021,43704.76699789495
INORig,2,id0022,92430.35012885842
INORig,2,id0023,54875.13278129267
INORig,2,id0024,50853.52166600313
INORig,2,id0025,78125.28348054283
INORig,2,id0026,73507.86848367729
INORig,2,id0027,60697.79660692016
INORig,2,id0028,58335.38529204482
INORig,2,id0029,88792.1895600459
INORig,2,id0030,59770.52394256493
INORig,2,id0031,53055.88280347494
INORig,2,id0032,71650.25898403359
INORig,2,id0033,70763.74022398506
INORig,2,id0034,79349.20502006616
INORig,2,id0035,62847.17710363538
INORig,2,id0036,57635.388591087925
INORig,2,id0037,50589.63004785783
INORig,2,id0038,51663.02957316778
INORig,2,id0039,73780.58117410529
INORig,2,id0040,48776.65166066544
INORig,2,id0041,54728.42343002845
INORig,2,id0042,65201.46633476749
INORig,2,id0043,49845.180738325835
INORig,2,id0044,67025.2992783568
INORig,2,id0045,89262.99664271942
INORig,2,id0046,56271.74723802905
INORig,2,id0047,61520.842714113154
INORig,2,id0048,45900.73134403639
INORig,2,id0049,64520.011935708775
INORig,2,id0050,70815.21970653503
INORig,2,id0051,59836.05240682167
INORig,2,id0052,58592.3845555636
INORig,2,id0053,84520.46059082112
INORig,2,id0054,56342.006319140004
INORig,2,id0055,57223.8240952045
INORig,2,id0056,52546.26651846174
INORig,2,id0057,68338.76338681445
INORig,2,id0058,66136.17988158065
INORig,2,id0059,54349.00881783359
INORig,2,id0060,55432.05151820942
INORig,2,id0061,60018.24314588425
INORig,2,id0062,83637.64857754801
INORig,2,id0063,58751.64099670821
INORig,2,id0064,49620.18674208547
INORig,2,id0065,66620.96064471854
INORig,2,id0066,62113.010108129085
INORig,2,id0067,59221.600438962494
INORig,2,id0068,76305.61798843123
INORig,2,id0069,53739.043727584125
INORig,2,id0070,76013.94835372943
INORig,2,id0071,80410.95587653983
INORig,2,id0072,67441.81863528764
INORig,2,id0073,51918.34920680934
INORig,2,id0074,55672.87864747669
INORig,2,id0075,61748.30886997108
INORig,2,id0076,48306.24702317215
INORig,2,id0077,74605.75715290163
INORig,2,id0078,57985.12137662218
INORig,2,id0079,81138.92113021832
INORig,2,id0080,79453.4260875029
INORig,2,id0081,51032.23741681967
INORig,2,id0082,58417.97205631045
INORig,2,id0083,59588.11009463276
INORig,2,id0084,47175.051040980725
INORig,2,id0085,67399.17463564033
INORig,2,id0086,68336.51236217601
INORig,2,id0087,67569.53097908136
INORig,2,id0088,58293.13660339257
INORig,2,id0089,67433.21561305954
INORig,2,id0090,67104.51672008802
INORig,2,id0091,64318.296246543585
INORig,2,id0092,87866.80092776987
