subject_a,subject_b,topology_a,topology_b,gt_distance,latent_distance,raw_chamfer,n_mesh_pairs,mesh_pair_index
id0018,id0042,remesh,original,0.511120,0.688805,0.007667,1,
id0018,id0045,remesh,original,0.286276,0.363612,0.002479,1,
id0018,id0048,remesh,original,0.272980,0.357985,0.001836,1,
id0018,id0056,remesh,original,0.419521,0.440903,0.005183,1,
id0018,id0062,remesh,original,0.534391,0.671775,0.006606,1,
id0018,id0069,remesh,original,0.467310,0.553763,0.004090,1,
id0018,id0071,remesh,original,0.456118,0.553230,0.007956,1,
id0018,id0072,remesh,original,0.388603,0.450809,0.003720,1,
id0018,id0075,remesh,original,0.308999,0.413039,0.003348,1,
id0018,id0080,remesh,original,0.464278,0.624530,0.004884,1,
id0018,id0081,remesh,original,0.325128,0.427536,0.002059,1,
id0018,id0086,remesh,original,0.393905,0.531215,0.003657,1,
id0018,id0088,remesh,original,0.358025,0.433491,0.003169,1,
id0018,id0097,remesh,original,0.290321,0.337720,0.002609,1,
id0018,id0100,remesh,original,0.357246,0.488515,0.003726,1,
id0018,id0106,remesh,original,0.519131,0.637278,0.004741,1,
id0018,id0107,remesh,original,0.340912,0.313899,0.002229,1,
id0018,id0110,remesh,original,0.235144,0.254695,0.002206,1,
id0018,id0113,remesh,original,0.432251,0.515649,0.004881,1,
id0018,id0115,remesh,original,0.354310,0.483705,0.003620,1,
id0018,id0130,remesh,original,0.349795,0.441490,0.002304,1,
id0018,id0132,remesh,original,0.326289,0.400420,0.003161,1,
id0018,id0136,remesh,original,0.458846,0.518693,0.003235,1,
id0018,id0153,remesh,original,0.233688,0.226983,0.001532,1,
id0018,id0161,remesh,original,0.287563,0.373921,0.003278,1,
id0018,id0169,remesh,original,0.424750,0.498666,0.005239,1,
id0018,id0182,remesh,original,0.193836,0.256257,0.001982,1,
id0018,id0183,remesh,original,0.462025,0.571460,0.003658,1,
id0018,id0186,remesh,original,0.344592,0.432281,0.004720,1,
id0018,id0197,remesh,original,0.306567,0.414150,0.002288,1,
id0018,id0199,remesh,original,0.386478,0.535105,0.003070,1,
id0018,id0206,remesh,original,0.546436,0.745754,0.007346,1,
id0018,id0207,remesh,original,0.330534,0.461648,0.003556,1,
id0018,id0208,remesh,original,0.219759,0.272248,0.001783,1,
id0018,id0212,remesh,original,0.439102,0.454451,0.003438,1,
id0018,id0220,remesh,original,0.326173,0.325212,0.002593,1,
id0018,id0222,remesh,original,0.298091,0.353121,0.002151,1,
id0018,id0224,remesh,original,0.328001,0.425485,0.004351,1,
id0018,id0233,remesh,original,0.351839,0.305054,0.002466,1,
id0018,id0239,remesh,original,0.502849,0.659967,0.007906,1,
id0018,id0242,remesh,original,0.341463,0.418717,0.003397,1,
id0018,id0246,remesh,original,0.359223,0.460749,0.005019,1,
id0018,id0258,remesh,original,0.278820,0.342246,0.002804,1,
id0018,id0273,remesh,original,0.294283,0.322920,0.003184,1,
id0018,id0275,remesh,original,0.312723,0.307119,0.001736,1,
id0018,id0285,remesh,original,0.411593,0.514623,0.002748,1,
id0018,id0290,remesh,original,0.263703,0.316323,0.002051,1,
id0018,id0296,remesh,original,0.348008,0.377603,0.002208,1,
id0018,id0299,remesh,original,0.294161,0.323549,0.002256,1,
id0018,id0303,remesh,original,0.340705,0.425165,0.003528,1,
id0018,id0319,remesh,original,0.431257,0.518326,0.003185,1,
id0018,id0321,remesh,original,0.258891,0.361137,0.002659,1,
id0018,id0326,remesh,original,0.466424,0.613130,0.003316,1,
id0018,id0328,remesh,original,0.320845,0.371265,0.002953,1,
id0018,id0330,remesh,original,0.336254,0.435241,0.003905,1,
id0018,id0342,remesh,original,0.397614,0.476385,0.004973,1,
id0018,id0346,remesh,original,0.345890,0.452727,0.003496,1,
id0018,id0363,remesh,original,0.452520,0.540832,0.005055,1,
id0018,id0367,remesh,original,0.402012,0.473622,0.005683,1,
id0018,id0368,remesh,original,0.340517,0.398194,0.002650,1,
id0018,id0369,remesh,original,0.327552,0.450465,0.001878,1,
id0018,id0372,remesh,original,0.392301,0.430240,0.003294,1,
id0018,id0373,remesh,original,0.286644,0.356624,0.002598,1,
id0018,id0374,remesh,original,0.360947,0.323301,0.001354,1,
