scenario,pair_index,pair_type,subject_a,subject_b,topology_a,topology_b,sample_name_a,sample_name_b,gt_distance,raw_chamfer,rigid_chamfer,mean_icp_chamfer,rotation_angle_deg,translation_x,translation_y,translation_z,translation_norm
clean,23,same_subject,id0485,id0485,down8k,up60k,id0485_GTready_down8k,id0485_GTready_up60k,0.0,0.00041069756844080985,0.0005114703089930117,0.0004106979176867753,1.0322086627527767,0.018835684284567833,-0.0011097659589722753,-0.006769683677703142,0.020046027038986294
clean,24,same_subject,id0485,id0485,noisy,original,id0485_GTready_noisy,id0485_GTready_original,0.0,0.00015286327106878161,0.00023181636061053723,0.00015286420239135623,1.4959982362644066,-0.008175987750291824,0.0005717171588912606,0.004377607721835375,0.009291775157038905
clean,25,same_subject,id0485,id0485,noisy,remesh,id0485_GTready_noisy,id0485_GTready_remesh,0.0,0.0007057409966364503,0.0005045417346991599,0.0007057402981445193,2.252553750338011,-0.0012452219380065799,0.012660063803195953,0.009187343530356884,0.0156918792475814
clean,26,same_subject,id0485,id0485,noisy,up60k,id0485_GTready_noisy,id0485_GTready_up60k,0.0,0.0004476653703022748,0.0004176203510724008,0.00044766481732949615,3.507047601301103,0.012489494867622852,-0.013249538838863373,0.0287785604596138,0.03405500409071438
clean,27,same_subject,id0485,id0485,original,remesh,id0485_GTready_original,id0485_GTready_remesh,0.0,0.0007945592515170574,0.0006668107816949487,0.0007945593679323792,1.7414749428138485,-0.004317385610193014,-0.010471299290657043,0.007376672700047493,0.01351677577920276
clean,28,same_subject,id0485,id0485,original,up60k,id0485_GTready_original,id0485_GTready_up60k,0.0,0.000609097070991993,0.0001255269889952615,0.0006090969545766711,0.8136119753740222,-0.00826253741979599,-0.002445367630571127,0.016036277636885643,0.018204712244620967
clean,29,same_subject,id0485,id0485,remesh,up60k,id0485_GTready_remesh,id0485_GTready_up60k,0.0,0.0006315873470157385,0.00048155616968870163,0.0006315874634310603,0.8010081400340973,0.0033846579026430845,-0.008758255280554295,0.007625183556228876,0.012095716966904637
clean,30,same_subject,id0489,id0489,crop,down8k,id0489_GTready_crop,id0489_GTready_down8k,0.0,0.01501789502799511,0.010956103913486004,0.015017896890640259,2.321277386655362,-0.026176761835813522,-0.0030414247885346413,0.042606864124536514,0.05009808375057805
clean,31,same_subject,id0489,id0489,crop,noisy,id0489_GTready_crop,id0489_GTready_noisy,0.0,0.009478183463215828,0.009716279804706573,0.009478182531893253,5.0721907756818485,-0.027063889428973198,0.0054470449686050415,0.042923592031002045,0.05103488182368599
clean,32,same_subject,id0489,id0489,crop,original,id0489_GTready_crop,id0489_GTready_original,0.0,0.008937770500779152,0.0069183302111923695,0.008937772363424301,2.0629363118287083,-1.1678765986289363e-05,0.014784731902182102,0.02579905092716217,0.02973515533094259
clean,33,same_subject,id0489,id0489,crop,remesh,id0489_GTready_crop,id0489_GTready_remesh,0.0,0.008717348799109459,0.18195047974586487,0.008717348799109459,44.23158968500453,-0.08676773309707642,-0.0005813837051391602,-0.22320745885372162,0.23947974277953848
clean,34,same_subject,id0489,id0489,crop,up60k,id0489_GTready_crop,id0489_GTready_up60k,0.0,0.0124577097594738,0.006303420290350914,0.0124577097594738,4.986920145628227,0.01175300870090723,-0.022992512211203575,0.0668390542268753,0.07165366704676826
clean,35,same_subject,id0489,id0489,down8k,noisy,id0489_GTready_down8k,id0489_GTready_noisy,0.0,0.0006840348360128701,0.00047158109373413026,0.0006840341957286,3.0374121331417894,-0.019164487719535828,0.03180475905537605,-0.011972110718488693,0.03901476288763673
clean,36,same_subject,id0489,id0489,down8k,original,id0489_GTready_down8k,id0489_GTready_original,0.0,0.0012184164952486753,0.0004685852618422359,0.0012184162624180317,2.603462781170186,-0.018702350556850433,0.020858310163021088,-0.028747308999300003,0.04014043838710967
clean,37,same_subject,id0489,id0489,down8k,remesh,id0489_GTready_down8k,id0489_GTready_remesh,0.0,0.0021286257542669773,0.0016884938813745975,0.0021286262199282646,1.3372785567621972,0.01621294394135475,0.043788738548755646,-0.0025549500714987516,0.046763671207515796
clean,38,same_subject,id0489,id0489,down8k,up60k,id0489_GTready_down8k,id0489_GTready_up60k,0.0,0.0003506650682538748,0.0002994546666741371,0.00035066489363089204,0.7727842122111043,0.001870351959951222,0.004481572192162275,-0.007289133965969086,0.008758663125243473
clean,39,same_subject,id0489,id0489,noisy,original,id0489_GTready_noisy,id0489_GTready_original,0.0,0.0001960070221684873,0.0002588366041891277,0.00019600673113018274,1.7252168772652599,0.009640916250646114,0.01506099570542574,-0.0064123268239200115,0.018997336473505672
clean,40,same_subject,id0489,id0489,noisy,remesh,id0489_GTready_noisy,id0489_GTready_remesh,0.0,0.0009136649314314127,0.0007484662346541882,0.0009136638836935163,2.3382475015812982,-0.006627899594604969,0.013262107037007809,0.004937831312417984,0.015626730757490905
clean,41,same_subject,id0489,id0489,noisy,up60k,id0489_GTready_noisy,id0489_GTready_up60k,0.0,0.0003505056956782937,0.00029877040651626885,0.0003505044151097536,1.9531937836357136,-0.0019482780480757356,0.016350530087947845,0.015383012592792511,0.02253381232591402
clean,42,same_subject,id0489,id0489,original,remesh,id0489_GTready_original,id0489_GTready_remesh,0.0,0.0008832199382595718,0.0007790173403918743,0.0008832198800519109,2.434898397799501,0.0007158105727285147,-0.003271646797657013,0.016865970566868782,0.017195261577165187
clean,43,same_subject,id0489,id0489,original,up60k,id0489_GTready_original,id0489_GTready_up60k,0.0,0.0006110217655077577,0.0001404878858011216,0.0006110212998464704,1.464334020343104,0.0038391530979424715,-0.012813468463718891,0.02591724321246147,0.029165520161897336
clean,44,same_subject,id0489,id0489,remesh,up60k,id0489_GTready_remesh,id0489_GTready_up60k,0.0,0.000963284051977098,0.0006116626318544149,0.0009632839937694371,1.3287641294876433,0.0014410329749807715,-0.020422201603651047,0.0033900910057127476,0.020751761645753448
clean,45,different_subject,id0478,id0485,crop,down8k,id0478_GTready_crop,id0485_GTready_down8k,0.34237438440322876,0.017814163118600845,0.019469715654850006,0.017814163118600845,5.187783436099902,0.018086515367031097,0.0013974553439766169,0.0014473628252744675,0.018198070741379354
clean,46,different_subject,id0478,id0485,crop,noisy,id0478_GTready_crop,id0485_GTready_noisy,0.34237438440322876,0.010529405437409878,0.007300431840121746,0.010529408231377602,3.657117742134358,0.0008444093400612473,0.014028024859726429,0.02614312618970871,0.02968099653936368
clean,47,different_subject,id0478,id0485,crop,original,id0478_GTready_crop,id0485_GTready_original,0.34237438440322876,0.011134102009236813,0.011681454256176949,0.011134102940559387,8.012352690580967,0.026080353185534477,-0.032147377729415894,0.007462009321898222,0.04206328922326521
clean,48,different_subject,id0478,id0485,crop,remesh,id0478_GTready_crop,id0485_GTready_remesh,0.34237438440322876,0.011829180642962456,0.01278004702180624,0.011829180642962456,5.359060867997949,-0.02091427892446518,0.02010362036526203,-0.0011565590975806117,0.02903274433578581
clean,49,different_subject,id0478,id0485,crop,up60k,id0478_GTready_crop,id0485_GTready_up60k,0.34237438440322876,0.014830581843852997,0.013038886711001396,0.014830581843852997,3.6803076092319835,0.025447934865951538,0.0018277473282068968,0.012540407478809357,0.028428856272668744
clean,50,different_subject,id0478,id0489,crop,down8k,id0478_GTready_crop,id0489_GTready_down8k,0.4157305955886841,0.024449843913316727,0.015851585194468498,0.024449847638607025,6.199065806520074,0.023258615285158157,-0.007838866673409939,0.042735110968351364,0.04928184985553804
clean,51,different_subject,id0478,id0489,crop,noisy,id0478_GTready_crop,id0489_GTready_noisy,0.4157305955886841,0.01674952730536461,0.023349348455667496,0.016749529168009758,8.025939236357283,-0.03959716856479645,-0.014206884428858757,-0.0013677725801244378,0.04209087936067378
clean,52,different_subject,id0478,id0489,crop,original,id0478_GTready_crop,id0489_GTready_original,0.4157305955886841,0.01635240763425827,0.013710329309105873,0.01635241135954857,7.357754516783532,0.013923496939241886,0.013473165221512318,0.02188682369887829,0.02923051487280078
clean,53,different_subject,id0478,id0489,crop,remesh,id0478_GTready_crop,id0489_GTready_remesh,0.4157305955886841,0.015224715694785118,0.00778545718640089,0.015224717557430267,5.1590942001749776,-0.013706643134355545,-0.010504556819796562,0.0496542789041996,0.0525715245497879
clean,54,different_subject,id0478,id0489,crop,up60k,id0478_GTready_crop,id0489_GTready_up60k,0.4157305955886841,0.020890705287456512,0.0203656367957592,0.02089070901274681,2.7650229641230704,-0.027894390746951103,-0.010220494121313095,0.00708055542781949,0.030539970536885116
clean,55,different_subject,id0478,id0485,down8k,crop,id0478_GTready_down8k,id0485_GTready_crop,0.34237438440322876,0.008801923133432865,0.007840638048946857,0.00880192406475544,1.1320281943381298,0.006799005437642336,-0.01703287661075592,-0.014517486095428467,0.02339022794051578
clean,56,different_subject,id0478,id0485,down8k,noisy,id0478_GTready_down8k,id0485_GTready_noisy,0.34237438440322876,0.0011305384105071425,0.001290026935748756,0.0011305393418297172,1.7301442678769614,-0.015065677464008331,0.01178058236837387,-0.014491984620690346,0.02399529905281231
clean,57,different_subject,id0478,id0485,down8k,original,id0478_GTready_down8k,id0485_GTready_original,0.34237438440322876,0.001320288167335093,0.0009750923491083086,0.0013202882837504148,1.18712653128451,-0.004178173374384642,0.03956255689263344,0.0015419548144564033,0.039812443598441674
clean,58,different_subject,id0478,id0485,down8k,remesh,id0478_GTready_down8k,id0485_GTready_remesh,0.34237438440322876,0.0018437462858855724,0.0031486786901950836,0.0018437474500387907,4.571939748255667,-0.004504411481320858,-0.008502171374857426,0.0074773915112018585,0.012185566244220816
clean,59,different_subject,id0478,id0485,down8k,up60k,id0478_GTready_down8k,id0485_GTready_up60k,0.34237438440322876,0.0012933998368680477,0.0016965363174676895,0.0012934019323438406,2.0098370037653823,-0.0002539147681090981,-0.0009846294997259974,-0.0033172667026519775,0.0034696147246802618
clean,60,different_subject,id0478,id0489,down8k,crop,id0478_GTready_down8k,id0489_GTready_crop,0.4157305955886841,0.007070646621286869,0.0054367161355912685,0.007070648483932018,1.727257501832455,-0.0013462546048685908,-0.01346225943416357,-0.029204485937952995,0.03218612790370955
clean,61,different_subject,id0478,id0489,down8k,noisy,id0478_GTready_down8k,id0489_GTready_noisy,0.4157305955886841,0.0015455556567758322,0.001635118736885488,0.0015455542597919703,3.285659178949524,-0.02484450303018093,0.002830534940585494,0.030027011409401894,0.039075346102714126
clean,62,different_subject,id0478,id0489,down8k,original,id0478_GTready_down8k,id0489_GTready_original,0.4157305955886841,0.0014710051473230124,0.0013039440382272005,0.001471006660722196,2.5401789480717047,-0.01790892705321312,0.007664293050765991,0.016855480149388313,0.02576001295092361
clean,63,different_subject,id0478,id0489,down8k,remesh,id0478_GTready_down8k,id0489_GTready_remesh,0.4157305955886841,0.0020749790128320456,0.0013967407867312431,0.0020749811083078384,2.228399655850898,-0.006766594015061855,0.031192870810627937,0.020004376769065857,0.03766904662839155
clean,64,different_subject,id0478,id0489,down8k,up60k,id0478_GTready_down8k,id0489_GTready_up60k,0.4157305955886841,0.0022032635752111673,0.0017280542524531484,0.002203263808041811,1.5255957880362967,-0.009632155299186707,-0.003247899701818824,0.016505835577845573,0.019384784659716964
clean,65,different_subject,id0478,id0485,noisy,crop,id0478_GTready_noisy,id0485_GTready_crop,0.34237438440322876,0.003292820882052183,0.003850692417472601,0.003292821114882827,4.137466345882112,0.010654482990503311,-0.00663873553276062,-0.011516891419887543,0.017036126474241207
clean,66,different_subject,id0478,id0485,noisy,down8k,id0478_GTready_noisy,id0485_GTready_down8k,0.34237438440322876,0.0038494006730616093,0.0022079008631408215,0.0038494011387228966,3.652832004817327,0.03314462676644325,-0.0006336066289804876,0.04912527650594711,0.059264327656971476
clean,67,different_subject,id0478,id0485,noisy,original,id0478_GTready_noisy,id0485_GTready_original,0.34237438440322876,0.0014598225243389606,0.0012527257204055786,0.001459822291508317,4.06343832871796,0.014868647791445255,0.024741893634200096,0.014773977920413017,0.032426970431185406
clean,68,different_subject,id0478,id0485,noisy,remesh,id0478_GTready_noisy,id0485_GTready_remesh,0.34237438440322876,0.0021498282440006733,0.002089009154587984,0.0021498289424926043,2.0536179190140804,0.005398154258728027,-0.024453621357679367,0.007626949343830347,0.02617804467868313
clean,69,different_subject,id0478,id0485,noisy,up60k,id0478_GTready_noisy,id0485_GTready_up60k,0.34237438440322876,0.0027188097592443228,0.0022450166288763285,0.0027188099920749664,2.7514325785368126,-0.0021887209732085466,-0.021046306937932968,0.006581748835742474,0.02215980489447156
clean,70,different_subject,id0478,id0489,noisy,crop,id0478_GTready_noisy,id0489_GTready_crop,0.4157305955886841,0.0028023365885019302,0.002400917001068592,0.0028023389168083668,1.553118808156771,0.019903069362044334,-0.0253350418061018,-0.034775711596012115,0.0474061876800517
clean,71,different_subject,id0478,id0489,noisy,down8k,id0478_GTready_noisy,id0489_GTready_down8k,0.4157305955886841,0.0068720499984920025,0.006043186876922846,0.0068720499984920025,2.049515869024029,-0.027244580909609795,-0.0047309682704508305,0.009119944646954536,0.029117394115542032
clean,72,different_subject,id0478,id0489,noisy,original,id0478_GTready_noisy,id0489_GTready_original,0.4157305955886841,0.003135237842798233,0.003194035030901432,0.0031352387741208076,5.280733825074949,0.013354453258216381,0.013893770053982735,0.017125336453318596,0.025780911868632503
clean,73,different_subject,id0478,id0489,noisy,remesh,id0478_GTready_noisy,id0489_GTready_remesh,0.4157305955886841,0.003325375262647867,0.0015429728664457798,0.00332537479698658,3.1814312564221874,-0.014315818436443806,-0.0009406374883837998,0.033880967646837234,0.03679330679723975
clean,74,different_subject,id0478,id0489,noisy,up60k,id0478_GTready_noisy,id0489_GTready_up60k,0.4157305955886841,0.005236919037997723,0.006217728368937969,0.005236919037997723,4.676275575732846,-0.03898363932967186,-0.021375106647610664,0.009895207360386848,0.04554705751514276
clean,75,different_subject,id0478,id0485,original,crop,id0478_GTready_original,id0485_GTready_crop,0.34237438440322876,0.0038000191561877728,0.004637305159121752,0.003800017526373267,3.662120349731034,-0.004346136469393969,-0.04668200761079788,-0.014106213115155697,0.048960024359015364
clean,76,different_subject,id0478,id0485,original,down8k,id0478_GTready_original,id0485_GTready_down8k,0.34237438440322876,0.004516711458563805,0.005201966501772404,0.00451671052724123,3.8227473725608787,0.01680546998977661,0.007183989509940147,0.009553357027471066,0.020622806728244902
clean,77,different_subject,id0478,id0485,original,noisy,id0478_GTready_original,id0485_GTready_noisy,0.34237438440322876,0.0016568618593737483,0.0012339173117652535,0.0016568604623898864,3.192059171319246,0.016538025811314583,-0.0009531345567665994,0.012723637744784355,0.02088793241753504
clean,78,different_subject,id0478,id0485,original,remesh,id0478_GTready_original,id0485_GTready_remesh,0.34237438440322876,0.002517682733014226,0.002146697835996747,0.0025176811031997204,3.2979109835777387,0.0014857285423204303,-0.009384935721755028,0.014006336219608784,0.01692518425600336
clean,79,different_subject,id0478,id0485,original,up60k,id0478_GTready_original,id0485_GTready_up60k,0.34237438440322876,0.0032211518846452236,0.0018665792886167765,0.0032211504876613617,5.788652620083598,-0.003617759793996811,-0.01694660075008869,0.038988273590803146,0.04266568809361083
