scenario,sigma,b725f567_latent_spearman,mixed_xtopo_9a81466d_latent_spearman,delta_latent_spearman,b725f567_chamfer_spearman,mixed_xtopo_9a81466d_chamfer_spearman,delta_chamfer_spearman,b725f567_delta_spearman,mixed_xtopo_9a81466d_delta_spearman,delta_delta_spearman,b725f567_latent_pearson,mixed_xtopo_9a81466d_latent_pearson,delta_latent_pearson,b725f567_chamfer_pearson,mixed_xtopo_9a81466d_chamfer_pearson,delta_chamfer_pearson,b725f567_delta_pearson,mixed_xtopo_9a81466d_delta_pearson,delta_delta_pearson,b725f567_latent_drop_vs_clean,mixed_xtopo_9a81466d_latent_drop_vs_clean,delta_latent_drop_vs_clean,b725f567_chamfer_drop_vs_clean,mixed_xtopo_9a81466d_chamfer_drop_vs_clean,delta_chamfer_drop_vs_clean,b725f567_beats_chamfer,mixed_xtopo_9a81466d_beats_chamfer,n_subjects,n_samples,n_pairs,n_mesh_pairs,n_subject_pairs
mixed,0.150000,0.216860,0.285421,0.068561,0.471810,0.471810,0.000000,-0.254950,-0.186388,0.068562,0.222394,0.283475,0.061081,0.529995,0.529995,0.000000,-0.307601,-0.246520,0.061081,0.328180,0.246443,-0.081737,0.167365,0.167365,0.000000,0,0,110,110,5995,5995,5995
mixed,0.200000,0.155166,0.198194,0.043028,0.392031,0.392031,0.000000,-0.236865,-0.193837,0.043028,0.155676,0.184907,0.029231,0.444181,0.444181,0.000000,-0.288506,-0.259274,0.029232,0.389874,0.333670,-0.056204,0.247144,0.247144,0.000000,0,0,110,110,5995,5995,5995
rotation,0.000000,0.545040,0.531864,-0.013176,0.639175,0.639175,0.000000,-0.094135,-0.107311,-0.013176,0.539079,0.527528,-0.011551,0.633116,0.633116,0.000000,-0.094037,-0.105588,-0.011551,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,110,110,5995,5995,5995
rotation,0.020000,0.533389,0.513372,-0.020017,0.635987,0.635987,0.000000,-0.102598,-0.122615,-0.020017,0.527804,0.511202,-0.016602,0.631717,0.631717,0.000000,-0.103913,-0.120515,-0.016602,0.011652,0.018492,0.006840,0.003188,0.003188,0.000000,0,0,110,110,5995,5995,5995
rotation,0.050000,0.523121,0.501169,-0.021952,0.630175,0.630175,0.000000,-0.107054,-0.129006,-0.021952,0.519332,0.500988,-0.018344,0.629645,0.629645,0.000000,-0.110314,-0.128657,-0.018343,0.021919,0.030695,0.008776,0.009000,0.009000,0.000000,0,0,110,110,5995,5995,5995
rotation,0.100000,0.499399,0.474357,-0.025042,0.611587,0.611587,0.000000,-0.112188,-0.137230,-0.025042,0.500413,0.478480,-0.021933,0.621758,0.621758,0.000000,-0.121345,-0.143278,-0.021933,0.045641,0.057507,0.011866,0.027588,0.027588,0.000000,0,0,110,110,5995,5995,5995
rotation,0.150000,0.468479,0.440088,-0.028391,0.582002,0.582002,0.000000,-0.113523,-0.141913,-0.028390,0.475449,0.448605,-0.026844,0.604934,0.604934,0.000000,-0.129486,-0.156329,-0.026843,0.076561,0.091776,0.015215,0.057173,0.057173,0.000000,0,0,110,110,5995,5995,5995
rotation,0.200000,0.432681,0.401469,-0.031212,0.544123,0.544123,0.000000,-0.111442,-0.142654,-0.031212,0.444875,0.413294,-0.031581,0.576087,0.576087,0.000000,-0.131212,-0.162793,-0.031581,0.112359,0.130395,0.018036,0.095052,0.095052,0.000000,0,0,110,110,5995,5995,5995
translation,0.000000,0.545040,0.531864,-0.013176,0.639175,0.639175,0.000000,-0.094135,-0.107311,-0.013176,0.539079,0.527528,-0.011551,0.633116,0.633116,0.000000,-0.094037,-0.105588,-0.011551,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,110,110,5995,5995,5995
translation,0.020000,0.490804,0.527554,0.036750,0.637243,0.637243,0.000000,-0.146439,-0.109689,0.036750,0.499459,0.522801,0.023342,0.630857,0.630857,0.000000,-0.131398,-0.108055,0.023343,0.054236,0.004311,-0.049925,0.001932,0.001932,0.000000,0,0,110,110,5995,5995,5995
translation,0.050000,0.413430,0.522663,0.109233,0.633143,0.633143,0.000000,-0.219713,-0.110481,0.109232,0.428555,0.518774,0.090219,0.627198,0.627198,0.000000,-0.198643,-0.108424,0.090219,0.131610,0.009202,-0.122408,0.006032,0.006032,0.000000,0,0,110,110,5995,5995,5995
translation,0.100000,0.282326,0.508367,0.226041,0.621215,0.621215,0.000000,-0.338889,-0.112848,0.226041,0.283954,0.507741,0.223787,0.616695,0.616695,0.000000,-0.332741,-0.108954,0.223787,0.262714,0.023497,-0.239217,0.017960,0.017960,0.000000,0,0,110,110,5995,5995,5995
translation,0.150000,0.187437,0.485662,0.298225,0.602452,0.602452,0.000000,-0.415016,-0.116790,0.298226,0.177825,0.488981,0.311156,0.599849,0.599849,0.000000,-0.422024,-0.110869,0.311155,0.357603,0.046202,-0.311401,0.036722,0.036722,0.000000,0,0,110,110,5995,5995,5995
translation,0.200000,0.126193,0.457030,0.330837,0.577268,0.577268,0.000000,-0.451075,-0.120238,0.330837,0.113237,0.461800,0.348563,0.576029,0.576029,0.000000,-0.462792,-0.114229,0.348563,0.418847,0.074834,-0.344013,0.061907,0.061907,0.000000,0,0,110,110,5995,5995,5995
