scenario,topology_a,topology_b,ordered_pair_label,ordered_topology_pairs,mesh_pair_level,latent_spearman,chamfer_spearman,delta_spearman,latent_pearson,chamfer_pearson,delta_pearson,model_beats_chamfer,n_subjects,n_subject_pairs,n_mesh_pairs,n_observations,chamfer_seconds_mean,chamfer_seconds_median,total_pair_seconds_mean,total_pair_seconds_median,output_dir,output_json,output_csv,output_md,method,gt_reference,metric_spearman,metric_column,registered_chamfer_spearman,registered_chamfer_pearson,model_beats_registered_chamfer,rigid_icp_seconds_mean,rigid_icp_seconds_median,nonrigid_cpd_seconds_mean,nonrigid_cpd_seconds_median,warp_seconds_mean,warp_seconds_median,registration_seconds_mean,registration_seconds_median,nicp_correspondence_spearman,nicp_correspondence_pearson,model_beats_nicp_correspondence,nonrigid_nicp_seconds_mean,nonrigid_nicp_seconds_median,metric_seconds_mean,metric_seconds_median
rotation,all,all,all_pairs,0,1,0.743998,,0.583742,0.77357,,0.682356,,100,4950,148500,148500,,,0.009793,0.009683,/deck/datasets/WBES-FaceEmbedding/face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_nicp_correspondence_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_icp128_nicp128_iter8/rotation,,,,nicp_corr,original_gt,0.160256,nicp_correspondence_spearman,,,,0.000654,0.000452,,,,,,,0.160256,0.091214,1.0,0.009039,0.009012,0.0001,0.0001
rotation,all,all,all_pairs,0,1,0.722198,0.230612,0.491585,0.753418,0.156547,0.596871,1.0,100,4950,148500,148500,0.031329,0.031329,0.031329,0.031329,/deck/datasets/WBES-FaceEmbedding/face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_noicp/rotation,,,,raw_noicp,original_gt,0.230612,chamfer_spearman,,,,,,,,,,,,,,,,,,
rotation,all,all,all_pairs,0,1,0.743998,,0.733737,0.77357,,0.762753,,100,4950,148500,148500,0.01438,0.00705,0.025299,0.018072,/deck/datasets/WBES-FaceEmbedding/face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_registered_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_icp128_cpd64/rotation,,,,rigid_cpd,original_gt,0.010261,registered_chamfer_spearman,0.010261,0.010816,1.0,0.00088,0.000879,0.00981,0.010586,0.000229,0.000207,0.01069,0.011525,,,,,,,
rotation,all,all,all_pairs,0,1,0.743998,,0.516693,0.77357,,0.722191,,100,4950,148500,148500,0.01439,0.007056,0.015238,0.007826,/deck/datasets/WBES-FaceEmbedding/face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_registered_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_icp128_rigidonly/rotation,,,,rigid_only,original_gt,0.227305,registered_chamfer_spearman,0.227305,0.051378,1.0,0.000806,0.000803,0.0,0.0,4.3e-05,3.9e-05,0.000806,0.000803,,,,,,,
translation,all,all,all_pairs,0,1,0.747596,,0.586987,0.777508,,0.690851,,100,4950,148500,148500,,,0.009771,0.009676,/deck/datasets/WBES-FaceEmbedding/face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_nicp_correspondence_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_icp128_nicp128_iter8/translation,,,,nicp_corr,original_gt,0.160609,nicp_correspondence_spearman,,,,0.000654,0.000453,,,,,,,0.160609,0.086657,1.0,0.009017,0.009002,0.0001,0.0001
translation,all,all,all_pairs,0,1,0.740176,0.234525,0.505652,0.771352,0.155471,0.615881,1.0,100,4950,148500,148500,0.03536,0.03536,0.03536,0.03536,/deck/datasets/WBES-FaceEmbedding/face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_noicp/translation,,,,raw_noicp,original_gt,0.234525,chamfer_spearman,,,,,,,,,,,,,,,,,,
translation,all,all,all_pairs,0,1,0.747596,,0.737295,0.777508,,0.768022,,100,4950,148500,148500,0.014374,0.007052,0.025318,0.018111,/deck/datasets/WBES-FaceEmbedding/face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_registered_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_icp128_cpd64/translation,,,,rigid_cpd,original_gt,0.0103,registered_chamfer_spearman,0.0103,0.009485,1.0,0.000878,0.000876,0.009837,0.010619,0.000229,0.000207,0.010715,0.01156,,,,,,,
translation,all,all,all_pairs,0,1,0.747596,,0.520913,0.777508,,0.733165,,100,4950,148500,148500,0.014391,0.007059,0.015235,0.007828,/deck/datasets/WBES-FaceEmbedding/face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_registered_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_icp128_rigidonly/translation,,,,rigid_only,original_gt,0.226682,registered_chamfer_spearman,0.226682,0.044343,1.0,0.000801,0.0008,0.0,0.0,4.3e-05,3.9e-05,0.000801,0.0008,,,,,,,
clean,all,all,all_pairs,0,1,0.747838,0.285201,0.462637,0.772504,0.183469,0.589035,1.0,100,4950,148500,148500,0.025245,0.025245,0.025245,0.025245,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean,,,,raw_noicp,surrogate_gt_normalized,0.285201,chamfer_spearman,,,,,,,,,,,,,,,,,,
clean,all,all,all_pairs,0,1,0.747838,,0.472911,0.772504,,0.715517,,100,4950,148500,148500,0.014382,0.007054,0.015237,0.007825,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/clean,,,,rigid_only,surrogate_gt_normalized,0.274927,registered_chamfer_spearman,0.274927,0.056986,1.0,0.000814,0.000814,0.0,0.0,4.2e-05,3.8e-05,0.000814,0.000814,,,,,,,
translation,all,all,all_pairs,0,1,0.732017,0.279739,0.452278,0.760302,0.182776,0.577526,1.0,100,4950,148500,148500,0.025249,0.025249,0.025249,0.025249,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/translation,,,,raw_noicp,surrogate_gt_normalized,0.279739,chamfer_spearman,,,,,,,,,,,,,,,,,,
translation,all,all,all_pairs,0,1,0.742236,,0.467923,0.768384,,0.710526,,100,4950,148500,148500,0.014385,0.007055,0.015241,0.007824,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation,,,,rigid_only,surrogate_gt_normalized,0.274313,registered_chamfer_spearman,0.274313,0.057858,1.0,0.000815,0.000816,0.0,0.0,4.2e-05,3.8e-05,0.000815,0.000816,,,,,,,
