scenario,topology_a,topology_b,ordered_pair_label,ordered_topology_pairs,mesh_pair_level,latent_spearman,chamfer_spearman,delta_spearman,latent_pearson,chamfer_pearson,delta_pearson,model_beats_chamfer,n_subjects,n_subject_pairs,n_mesh_pairs,n_observations,chamfer_seconds_mean,chamfer_seconds_median,total_pair_seconds_mean,total_pair_seconds_median,output_dir,output_json,output_csv,output_md,method,gt_reference,metric_spearman,metric_column,registered_chamfer_spearman,registered_chamfer_pearson,model_beats_registered_chamfer,rigid_icp_seconds_mean,rigid_icp_seconds_median,nonrigid_cpd_seconds_mean,nonrigid_cpd_seconds_median,warp_seconds_mean,warp_seconds_median,registration_seconds_mean,registration_seconds_median
clean,noisy,crop,noisy__to__crop,1,1,0.714387,0.010323,0.704063,0.749693,0.195469,0.554224,1.0,100,4950,4950,4950,0.025245,0.025245,0.025245,0.025245,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/noisy__to__crop,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/noisy__to__crop/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/noisy__to__crop/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/noisy__to__crop/ranking_summary.md,raw_noicp,surrogate_gt_normalized,0.010323,chamfer_spearman,,,,,,,,,,,
clean,noisy,down8k,noisy__to__down8k,1,1,0.8022,0.43465,0.36755,0.818911,0.551681,0.267229,1.0,100,4950,4950,4950,0.025245,0.025245,0.025245,0.025245,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/noisy__to__down8k,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/noisy__to__down8k/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/noisy__to__down8k/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/noisy__to__down8k/ranking_summary.md,raw_noicp,surrogate_gt_normalized,0.43465,chamfer_spearman,,,,,,,,,,,
clean,noisy,original,noisy__to__original,1,1,0.832441,0.863771,-0.03133,0.85048,0.873786,-0.023306,0.0,100,4950,4950,4950,0.025245,0.025245,0.025245,0.025245,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/noisy__to__original,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/noisy__to__original/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/noisy__to__original/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/noisy__to__original/ranking_summary.md,raw_noicp,surrogate_gt_normalized,0.863771,chamfer_spearman,,,,,,,,,,,
clean,noisy,remesh,noisy__to__remesh,1,1,0.788333,0.753773,0.03456,0.802457,0.787641,0.014816,1.0,100,4950,4950,4950,0.025245,0.025245,0.025245,0.025245,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/noisy__to__remesh,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/noisy__to__remesh/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/noisy__to__remesh/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/noisy__to__remesh/ranking_summary.md,raw_noicp,surrogate_gt_normalized,0.753773,chamfer_spearman,,,,,,,,,,,
clean,noisy,up60k,noisy__to__up60k,1,1,0.813201,0.672693,0.140508,0.828653,0.725967,0.102686,1.0,100,4950,4950,4950,0.025245,0.025245,0.025245,0.025245,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/noisy__to__up60k,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/noisy__to__up60k/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/noisy__to__up60k/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/noisy__to__up60k/ranking_summary.md,raw_noicp,surrogate_gt_normalized,0.672693,chamfer_spearman,,,,,,,,,,,
clean,original,crop,original__to__crop,1,1,0.742565,0.019921,0.722644,0.774294,0.207011,0.567283,1.0,100,4950,4950,4950,0.025245,0.025245,0.025245,0.025245,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/original__to__crop,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/original__to__crop/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/original__to__crop/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/original__to__crop/ranking_summary.md,raw_noicp,surrogate_gt_normalized,0.019921,chamfer_spearman,,,,,,,,,,,
clean,original,down8k,original__to__down8k,1,1,0.797868,0.339725,0.458143,0.815532,0.486053,0.329479,1.0,100,4950,4950,4950,0.025245,0.025245,0.025245,0.025245,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/original__to__down8k,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/original__to__down8k/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/original__to__down8k/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/original__to__down8k/ranking_summary.md,raw_noicp,surrogate_gt_normalized,0.339725,chamfer_spearman,,,,,,,,,,,
clean,original,noisy,original__to__noisy,1,1,0.837935,0.856141,-0.018206,0.854839,0.865751,-0.010912,0.0,100,4950,4950,4950,0.025245,0.025245,0.025245,0.025245,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/original__to__noisy,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/original__to__noisy/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/original__to__noisy/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/original__to__noisy/ranking_summary.md,raw_noicp,surrogate_gt_normalized,0.856141,chamfer_spearman,,,,,,,,,,,
clean,original,remesh,original__to__remesh,1,1,0.783039,0.738015,0.045024,0.797925,0.760828,0.037097,1.0,100,4950,4950,4950,0.025245,0.025245,0.025245,0.025245,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/original__to__remesh,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/original__to__remesh/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/original__to__remesh/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/original__to__remesh/ranking_summary.md,raw_noicp,surrogate_gt_normalized,0.738015,chamfer_spearman,,,,,,,,,,,
clean,original,up60k,original__to__up60k,1,1,0.811467,0.57253,0.238938,0.827665,0.650465,0.1772,1.0,100,4950,4950,4950,0.025245,0.025245,0.025245,0.025245,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/original__to__up60k,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/original__to__up60k/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/original__to__up60k/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/original__to__up60k/ranking_summary.md,raw_noicp,surrogate_gt_normalized,0.57253,chamfer_spearman,,,,,,,,,,,
clean,remesh,crop,remesh__to__crop,1,1,0.631949,0.052205,0.579745,0.677672,0.218327,0.459345,1.0,100,4950,4950,4950,0.025245,0.025245,0.025245,0.025245,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/remesh__to__crop,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/remesh__to__crop/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/remesh__to__crop/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/remesh__to__crop/ranking_summary.md,raw_noicp,surrogate_gt_normalized,0.052205,chamfer_spearman,,,,,,,,,,,
clean,remesh,down8k,remesh__to__down8k,1,1,0.787238,0.422779,0.364459,0.810487,0.520717,0.28977,1.0,100,4950,4950,4950,0.025245,0.025245,0.025245,0.025245,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/remesh__to__down8k,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/remesh__to__down8k/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/remesh__to__down8k/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/remesh__to__down8k/ranking_summary.md,raw_noicp,surrogate_gt_normalized,0.422779,chamfer_spearman,,,,,,,,,,,
clean,remesh,noisy,remesh__to__noisy,1,1,0.761023,0.770246,-0.009223,0.788651,0.817734,-0.029083,0.0,100,4950,4950,4950,0.025245,0.025245,0.025245,0.025245,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/remesh__to__noisy,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/remesh__to__noisy/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/remesh__to__noisy/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/remesh__to__noisy/ranking_summary.md,raw_noicp,surrogate_gt_normalized,0.770246,chamfer_spearman,,,,,,,,,,,
clean,remesh,original,remesh__to__original,1,1,0.749569,0.764252,-0.014683,0.779646,0.811208,-0.031563,0.0,100,4950,4950,4950,0.025245,0.025245,0.025245,0.025245,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/remesh__to__original,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/remesh__to__original/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/remesh__to__original/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/remesh__to__original/ranking_summary.md,raw_noicp,surrogate_gt_normalized,0.764252,chamfer_spearman,,,,,,,,,,,
clean,remesh,up60k,remesh__to__up60k,1,1,0.794828,0.652595,0.142233,0.815008,0.709221,0.105787,1.0,100,4950,4950,4950,0.025245,0.025245,0.025245,0.025245,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/remesh__to__up60k,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/remesh__to__up60k/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/remesh__to__up60k/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/remesh__to__up60k/ranking_summary.md,raw_noicp,surrogate_gt_normalized,0.652595,chamfer_spearman,,,,,,,,,,,
clean,up60k,crop,up60k__to__crop,1,1,0.663875,-0.004814,0.668689,0.70972,0.168232,0.541488,1.0,100,4950,4950,4950,0.025245,0.025245,0.025245,0.025245,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/up60k__to__crop,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/up60k__to__crop/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/up60k__to__crop/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/up60k__to__crop/ranking_summary.md,raw_noicp,surrogate_gt_normalized,-0.004814,chamfer_spearman,,,,,,,,,,,
clean,up60k,down8k,up60k__to__down8k,1,1,0.810446,0.747818,0.062628,0.831238,0.792326,0.038912,1.0,100,4950,4950,4950,0.025245,0.025245,0.025245,0.025245,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/up60k__to__down8k,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/up60k__to__down8k/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/up60k__to__down8k/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/raw_noicp_clean_translation/clean/up60k__to__down8k/ranking_summary.md,raw_noicp,surrogate_gt_normalized,0.747818,chamfer_spearman,,,,,,,,,,,
