scenario,sample_name,subject_id,topology_label,template_sample_name,rotation_angle_deg,rotation_axis_x,rotation_axis_y,rotation_axis_z,translation_x,translation_y,translation_z,translation_norm
clean,id0489_GTready_original,id0489,original,id0478_GTready_original,3.842392531241027,-0.7010763503594455,0.7120101838128888,-0.03915927876527074,-0.0016124715330079198,0.01748279482126236,-0.010269620455801487,0.020339943055803653
clean,id0489_GTready_remesh,id0489,remesh,id0478_GTready_original,4.299880533578571,-0.3149286919521973,0.9490044503243805,-0.014507661761921174,0.005563068203628063,0.0054568215273320675,-0.013501523062586784,0.015588962570643855
clean,id0489_GTready_up60k,id0489,up60k,id0478_GTready_original,4.775139868534689,-0.49202566904812567,0.870031251073041,0.030925121730130754,0.014242363162338734,0.012246035039424896,-0.016748817637562752,0.02516611163630764
translation,id0478_GTready_crop,id0478,crop,id0478_GTready_original,2.8543392149495688,0.36026171682267993,-0.13377046146867838,0.9232101380674022,0.017603052780032158,-0.01323491521179676,0.009624039754271507,0.024034404278696936
translation,id0478_GTready_down8k,id0478,down8k,id0478_GTready_original,3.032800437496742,-0.09052985509851902,-0.09410189129394395,0.9914379352187125,-0.008342943154275417,0.025972586125135422,-0.011368206702172756,0.0295536132160921
translation,id0478_GTready_noisy,id0478,noisy,id0478_GTready_original,1.156821530472989,0.5211755249073642,0.7219369654872321,0.4551736922325592,-0.015074514783918858,-0.009294985793530941,-0.0029435146134346724,0.017952772352815977
translation,id0478_GTready_original,id0478,original,id0478_GTready_original,2.8400731792291976,-0.16109358521048406,0.6799598452319849,0.7153345131308342,-0.012363770045340061,-0.0259922593832016,-0.006081637926399708,0.029418475104014196
translation,id0478_GTready_remesh,id0478,remesh,id0478_GTready_original,1.9739252324174699,0.9774147161512793,-0.017686874359705954,-0.21058881054390857,-0.01271028257906437,-0.011146132834255695,-0.0053584701381623745,0.01773416935241451
translation,id0478_GTready_up60k,id0478,up60k,id0478_GTready_original,2.2721057310751553,-0.4504191948091542,-0.045314464888565414,0.8916665005591139,-0.006249450147151947,-0.005503103137016296,-0.0063962810672819614,0.010500103940916288
translation,id0485_GTready_crop,id0485,crop,id0478_GTready_original,2.1746138592736823,-0.7469767790976817,0.02293111979998601,0.6644545546789276,0.004756792448461056,0.02038743533194065,0.025682881474494934,0.03313434765684626
translation,id0485_GTready_down8k,id0485,down8k,id0478_GTready_original,4.513883011326357,0.8454018800584663,-0.5335173591104824,0.02559079368420016,-0.004401567857712507,-0.016643313691020012,-0.0022759605199098587,0.01736530122145684
translation,id0485_GTready_noisy,id0485,noisy,id0478_GTready_original,4.588319563702372,-0.9019526936024472,0.2764899257351723,0.33171472603767416,0.0034864824265241623,0.03679082915186882,0.009557928889989853,0.038171647515643926
translation,id0485_GTready_original,id0485,original,id0478_GTready_original,4.306320871411501,-0.7723722931298606,-0.4319766559530785,-0.4656578244987583,0.0192458163946867,0.020055662840604782,-0.010237416252493858,0.029621542029422306
translation,id0485_GTready_remesh,id0485,remesh,id0478_GTready_original,3.5517881559910283,-0.7605564008739056,-0.46749960222091763,0.45055308567694297,0.027839723974466324,0.011789970099925995,-0.02682061307132244,0.040415330153955396
translation,id0485_GTready_up60k,id0485,up60k,id0478_GTready_original,5.269329952335148,-0.8636955318084173,0.44561308687845635,0.23549735696357302,-0.005392713472247124,0.02175738476216793,-0.03180224820971489,0.03890820146800783
translation,id0489_GTready_crop,id0489,crop,id0478_GTready_original,1.9619915052502592,0.9566381878828705,-0.1438952265343142,0.2532539067118536,-0.013562224805355072,-0.0011034042108803988,0.014138373546302319,0.01962256479307326
