scenario,pair_index,pair_type,subject_a,topology_a,sample_name_a,subject_b,topology_b,sample_name_b,gt_distance,latent_distance,raw_chamfer,rigid_registered_chamfer,cpd_registered_chamfer
translation,50,different_subject,id0478,crop,id0478_GTready_crop,id0489,down8k,id0489_GTready_down8k,0.4157305955886841,0.5902162194252014,0.024609282612800598,0.021396776661276817,0.00572781078517437
translation,51,different_subject,id0478,crop,id0478_GTready_crop,id0489,noisy,id0489_GTready_noisy,0.4157305955886841,0.5780829191207886,0.016086667776107788,0.012412820011377335,0.006046292372047901
translation,52,different_subject,id0478,crop,id0478_GTready_crop,id0489,original,id0489_GTready_original,0.4157305955886841,0.569010317325592,0.01624755933880806,0.015088984742760658,0.0038425661623477936
translation,53,different_subject,id0478,crop,id0478_GTready_crop,id0489,remesh,id0489_GTready_remesh,0.4157305955886841,0.6098399758338928,0.01468576304614544,0.03458525985479355,0.016290318220853806
translation,54,different_subject,id0478,crop,id0478_GTready_crop,id0489,up60k,id0489_GTready_up60k,0.4157305955886841,0.6068876385688782,0.021302253007888794,0.016386911273002625,0.008764446713030338
translation,55,different_subject,id0478,down8k,id0478_GTready_down8k,id0485,crop,id0485_GTready_crop,0.34237438440322876,0.4185052216053009,0.00906858779489994,0.00610052514821291,0.015505550429224968
translation,56,different_subject,id0478,down8k,id0478_GTready_down8k,id0485,noisy,id0485_GTready_noisy,0.34237438440322876,0.3421277403831482,0.001109508564695716,0.001203007297590375,0.015504879876971245
translation,57,different_subject,id0478,down8k,id0478_GTready_down8k,id0485,original,id0485_GTready_original,0.34237438440322876,0.372822105884552,0.0013220561668276787,0.0012396529782563448,0.0067971255630254745
translation,58,different_subject,id0478,down8k,id0478_GTready_down8k,id0485,remesh,id0485_GTready_remesh,0.34237438440322876,0.41707783937454224,0.0019037005258724093,0.0020041048992425203,0.007443700917065144
translation,59,different_subject,id0478,down8k,id0478_GTready_down8k,id0485,up60k,id0485_GTready_up60k,0.34237438440322876,0.3969009220600128,0.0014229465741664171,0.0010247098980471492,0.008147847838699818
translation,60,different_subject,id0478,down8k,id0478_GTready_down8k,id0489,crop,id0489_GTready_crop,0.4157305955886841,0.4889223575592041,0.006487424951046705,0.005563146434724331,0.00833350233733654
translation,61,different_subject,id0478,down8k,id0478_GTready_down8k,id0489,noisy,id0489_GTready_noisy,0.4157305955886841,0.4783886969089508,0.0014645218616351485,0.002490364946424961,0.006826712749898434
translation,62,different_subject,id0478,down8k,id0478_GTready_down8k,id0489,original,id0489_GTready_original,0.4157305955886841,0.4862994849681854,0.0014850255101919174,0.0023103212006390095,0.005870516877621412
translation,63,different_subject,id0478,down8k,id0478_GTready_down8k,id0489,remesh,id0489_GTready_remesh,0.4157305955886841,0.5219817757606506,0.0019470390398055315,0.001884297002106905,0.007272186689078808
translation,64,different_subject,id0478,down8k,id0478_GTready_down8k,id0489,up60k,id0489_GTready_up60k,0.4157305955886841,0.5225183367729187,0.002549349330365658,0.0015800632536411285,0.012812714092433453
translation,65,different_subject,id0478,noisy,id0478_GTready_noisy,id0485,crop,id0485_GTready_crop,0.34237438440322876,0.4717218577861786,0.0033875207882374525,0.0041780415922403336,0.00439098384231329
translation,66,different_subject,id0478,noisy,id0478_GTready_noisy,id0485,down8k,id0485_GTready_down8k,0.34237438440322876,0.4721737504005432,0.003919904585927725,0.001639090129174292,0.012653853744268417
translation,67,different_subject,id0478,noisy,id0478_GTready_noisy,id0485,original,id0485_GTready_original,0.34237438440322876,0.4459646940231323,0.0014309084508568048,0.0010654963552951813,0.017356757074594498
translation,68,different_subject,id0478,noisy,id0478_GTready_noisy,id0485,remesh,id0485_GTready_remesh,0.34237438440322876,0.5064125657081604,0.002390002366155386,0.0011996929533779621,0.007243434898555279
translation,69,different_subject,id0478,noisy,id0478_GTready_noisy,id0485,up60k,id0485_GTready_up60k,0.34237438440322876,0.4924025535583496,0.002847407478839159,0.0011139234993606806,0.0038931448943912983
translation,70,different_subject,id0478,noisy,id0478_GTready_noisy,id0489,crop,id0489_GTready_crop,0.4157305955886841,0.5518113374710083,0.0026071378961205482,0.002590139862149954,0.009209527634084225
translation,71,different_subject,id0478,noisy,id0478_GTready_noisy,id0489,down8k,id0489_GTready_down8k,0.4157305955886841,0.5989225506782532,0.00733394268900156,0.006729426793754101,0.0077308956533670425
translation,72,different_subject,id0478,noisy,id0478_GTready_noisy,id0489,original,id0489_GTready_original,0.4157305955886841,0.5522340536117554,0.003296102164313197,0.005096904933452606,0.007588003762066364
translation,73,different_subject,id0478,noisy,id0478_GTready_noisy,id0489,remesh,id0489_GTready_remesh,0.4157305955886841,0.5957863926887512,0.0033673022408038378,0.002587576163932681,0.007909514009952545
translation,74,different_subject,id0478,noisy,id0478_GTready_noisy,id0489,up60k,id0489_GTready_up60k,0.4157305955886841,0.6083492636680603,0.005841212347149849,0.0032991566695272923,0.006783748976886272
translation,75,different_subject,id0478,original,id0478_GTready_original,id0485,crop,id0485_GTready_crop,0.34237438440322876,0.410137802362442,0.004085655324161053,0.004555373452603817,0.010942552238702774
translation,76,different_subject,id0478,original,id0478_GTready_original,id0485,down8k,id0485_GTready_down8k,0.34237438440322876,0.4039604365825653,0.004302911460399628,0.002215375890955329,0.008122355677187443
