epoch,subject_stress,subject_rank,mesh_stress,mesh_rank,lambda_subject,lambda_mesh,train_pair_mode
49,0.006251,0.015226,0.008095,0.011714,1.000000,1.000000,cross_topology
50,0.005966,0.013167,0.007672,0.010928,1.000000,1.000000,cross_topology
51,0.006283,0.013814,0.006845,0.011216,1.000000,1.000000,cross_topology
52,0.006471,0.014909,0.008372,0.013450,1.000000,1.000000,cross_topology
53,0.006019,0.015232,0.007456,0.011419,1.000000,1.000000,cross_topology
54,0.005911,0.014398,0.007507,0.012126,1.000000,1.000000,cross_topology
55,0.006872,0.015823,0.007849,0.012178,1.000000,1.000000,cross_topology
56,0.005784,0.012798,0.007123,0.009971,1.000000,1.000000,cross_topology
57,0.005985,0.014797,0.007607,0.011119,1.000000,1.000000,cross_topology
58,0.005837,0.013566,0.007490,0.010212,1.000000,1.000000,cross_topology
59,0.006129,0.014701,0.007245,0.009741,1.000000,1.000000,cross_topology
60,0.005905,0.013516,0.006923,0.010316,1.000000,1.000000,cross_topology
61,0.005710,0.011931,0.007256,0.009562,1.000000,1.000000,cross_topology
62,0.006199,0.015281,0.007367,0.012023,1.000000,1.000000,cross_topology
63,0.005325,0.012709,0.006775,0.009951,1.000000,1.000000,cross_topology
64,0.006081,0.014085,0.007550,0.010959,1.000000,1.000000,cross_topology
65,0.005654,0.012656,0.007092,0.009746,1.000000,1.000000,cross_topology
66,0.005277,0.011202,0.006877,0.008713,1.000000,1.000000,cross_topology
67,0.005248,0.013069,0.006728,0.009487,1.000000,1.000000,cross_topology
68,0.005717,0.012742,0.006827,0.009656,1.000000,1.000000,cross_topology
69,0.006248,0.014373,0.007031,0.009270,1.000000,1.000000,cross_topology
70,0.005725,0.012719,0.007356,0.009194,1.000000,1.000000,cross_topology
71,0.005905,0.013110,0.006691,0.008808,1.000000,1.000000,cross_topology
72,0.006107,0.013565,0.007419,0.010113,1.000000,1.000000,cross_topology
73,0.005803,0.015017,0.006784,0.010089,1.000000,1.000000,cross_topology
74,0.005438,0.012998,0.006670,0.009256,1.000000,1.000000,cross_topology
75,0.005012,0.011990,0.006402,0.009431,1.000000,1.000000,cross_topology
76,0.004766,0.011646,0.006322,0.008020,1.000000,1.000000,cross_topology
77,0.005552,0.012533,0.006475,0.008290,1.000000,1.000000,cross_topology
78,0.004860,0.012076,0.006171,0.008157,1.000000,1.000000,cross_topology
79,0.004820,0.010528,0.006056,0.007018,1.000000,1.000000,cross_topology
80,0.005238,0.012496,0.006007,0.007909,1.000000,1.000000,cross_topology
81,0.005026,0.013060,0.006136,0.009181,1.000000,1.000000,cross_topology
82,0.005093,0.012010,0.006033,0.007111,1.000000,1.000000,cross_topology
83,0.004628,0.011826,0.005902,0.007525,1.000000,1.000000,cross_topology
84,0.004873,0.010726,0.005810,0.008036,1.000000,1.000000,cross_topology
85,0.005017,0.012466,0.005706,0.007819,1.000000,1.000000,cross_topology
86,0.004933,0.012393,0.005861,0.007514,1.000000,1.000000,cross_topology
87,0.004937,0.011866,0.005790,0.007380,1.000000,1.000000,cross_topology
88,0.004969,0.011473,0.005849,0.007765,1.000000,1.000000,cross_topology
89,0.004335,0.012093,0.005416,0.007569,1.000000,1.000000,cross_topology
90,0.004667,0.011416,0.005695,0.007537,1.000000,1.000000,cross_topology
91,0.004985,0.010609,0.005659,0.006430,1.000000,1.000000,cross_topology
92,0.004474,0.011845,0.005715,0.007923,1.000000,1.000000,cross_topology
93,0.004392,0.010484,0.005416,0.008177,1.000000,1.000000,cross_topology
94,0.003779,0.009341,0.004838,0.005632,1.000000,1.000000,cross_topology
95,0.004333,0.010408,0.005413,0.006387,1.000000,1.000000,cross_topology
96,0.004743,0.013602,0.005680,0.008069,1.000000,1.000000,cross_topology
97,0.004974,0.011054,0.005804,0.007095,1.000000,1.000000,cross_topology
98,0.004193,0.011196,0.005293,0.006641,1.000000,1.000000,cross_topology
99,0.003993,0.009824,0.005158,0.006343,1.000000,1.000000,cross_topology
100,0.004375,0.011647,0.005334,0.007257,1.000000,1.000000,cross_topology
101,0.003975,0.010378,0.005499,0.006997,1.000000,1.000000,cross_topology
102,0.004239,0.010625,0.005683,0.006684,1.000000,1.000000,cross_topology
103,0.004317,0.010499,0.005724,0.006729,1.000000,1.000000,cross_topology
104,0.004622,0.010653,0.005347,0.006883,1.000000,1.000000,cross_topology
105,0.004708,0.010220,0.005456,0.005880,1.000000,1.000000,cross_topology
106,0.004351,0.010738,0.005478,0.006807,1.000000,1.000000,cross_topology
107,0.004390,0.011262,0.005582,0.006538,1.000000,1.000000,cross_topology
108,0.003908,0.010544,0.005165,0.006476,1.000000,1.000000,cross_topology
109,0.004016,0.010572,0.005277,0.007297,1.000000,1.000000,cross_topology
110,0.004063,0.010413,0.005096,0.006826,1.000000,1.000000,cross_topology
111,0.003958,0.010951,0.005030,0.006433,1.000000,1.000000,cross_topology
112,0.004010,0.010094,0.005090,0.005721,1.000000,1.000000,cross_topology
113,0.004506,0.010949,0.005289,0.006867,1.000000,1.000000,cross_topology
114,0.004357,0.010682,0.005703,0.006038,1.000000,1.000000,cross_topology
115,0.004103,0.009934,0.005248,0.006340,1.000000,1.000000,cross_topology
116,0.004021,0.009824,0.004870,0.005868,1.000000,1.000000,cross_topology
117,0.004350,0.010765,0.005150,0.006827,1.000000,1.000000,cross_topology
118,0.004297,0.010415,0.005594,0.007047,1.000000,1.000000,cross_topology
119,0.004159,0.010153,0.005356,0.006158,1.000000,1.000000,cross_topology
120,0.004298,0.011956,0.005415,0.006688,1.000000,1.000000,cross_topology
