scenario,noise_mode,sigma,group_type,group,metric,n,mean,std,cv,min,p05,p25,p50,p75,p95,max,iqr,range,std_vs_raw,iqr_vs_raw,range_vs_raw,median_vs_raw
rotation_sigma0.0010,rotation,0.0010,overall,all,raw_chamfer,1350,0.04372241391,0.01643244897,0.3758358128,0.02173695802,0.02635563097,0.03191850882,0.03878980726,0.05006019567,0.07947307629,0.1114488022,0.01814168685,0.08971184421,1,1,1,1
rotation_sigma0.0010,rotation,0.0010,overall,all,rigid_p2p,1350,0.03152506955,0.009378702295,0.297499813,0.01905705122,0.02171373612,0.02477136363,0.02873947179,0.03580026344,0.04931715378,0.08412255321,0.01102889981,0.06506550199,0.5707428218,0.6079313298,0.7252721484,0.7409026705
rotation_sigma0.0010,rotation,0.0010,overall,all,nicp_p2p,1350,0.02378425023,0.002888110877,0.1214295531,0.01768665864,0.019715913,0.0218102628,0.02328648084,0.02527030947,0.02942080985,0.0351774524,0.003460046667,0.01749079376,0.1757565705,0.1907235361,0.1949663828,0.6003247369
rotation_sigma0.0010,rotation,0.0010,overall,all,nicp_p2tri,1350,0.02178889788,0.003066848815,0.1407528197,0.01547771672,0.01743673802,0.01965655662,0.02127872618,0.0234461536,0.02780193772,0.03370601682,0.003789596981,0.0182283001,0.1866337038,0.2088888984,0.2031872186,0.5485648856
rotation_sigma0.0025,rotation,0.0025,overall,all,latent_distance,1350,0.4462645774,0.1034268513,0.2317612836,0.1962977499,0.2769342244,0.3734058663,0.4440993518,0.5198428333,0.6218556255,0.7091027498,0.146436967,0.5128049999,6.288626896,7.925774959,5.728217625,11.44826703
rotation_sigma0.0025,rotation,0.0025,overall,all,raw_chamfer,1350,0.04363575949,0.01644665091,0.3769076351,0.02145915043,0.02615599966,0.03178392244,0.03879184076,0.05025996645,0.07982997452,0.1109817618,0.01847604401,0.08952261132,1,1,1,1
rotation_sigma0.0025,rotation,0.0025,overall,all,rigid_p2p,1350,0.0313999848,0.009202960134,0.2930880442,0.01901503789,0.02176466591,0.02476721792,0.02857507107,0.03598458907,0.04958079381,0.08193788974,0.01121737115,0.06292285185,0.5595643868,0.6071305708,0.7028710504,0.7366258088
rotation_sigma0.0025,rotation,0.0025,overall,all,nicp_p2p,1350,0.02375471159,0.002891134095,0.1217078172,0.01848240261,0.01970794068,0.02182228242,0.02321676065,0.02525025601,0.02928370498,0.03479025606,0.003427973594,0.01630785345,0.1757886217,0.1855361241,0.1821646309,0.5984959775
rotation_sigma0.0025,rotation,0.0025,overall,all,nicp_p2tri,1350,0.02176728834,0.003064682126,0.1407930137,0.01610202425,0.01745691463,0.01972116588,0.02120282309,0.02334697198,0.02766204986,0.0331887943,0.003625806103,0.01708677005,0.1863408023,0.1962436386,0.1908654115,0.5465794528
rotation_sigma0.0063,rotation,0.0063,overall,all,latent_distance,1350,0.4462207318,0.1040207586,0.2331150284,0.1916237921,0.2746872514,0.369843021,0.4444024712,0.5201771706,0.6237736613,0.7060338855,0.1503341496,0.5144100934,6.335953296,8.073739002,5.697432684,11.48406135
rotation_sigma0.0063,rotation,0.0063,overall,all,raw_chamfer,1350,0.04367290645,0.01641753872,0.3759204516,0.02146215981,0.02654094455,0.03170710632,0.03869732648,0.0503272462,0.07974014718,0.1117502109,0.01862013988,0.09028805113,1,1,1,1
rotation_sigma0.0063,rotation,0.0063,overall,all,rigid_p2p,1350,0.03151301832,0.008994353076,0.2854170611,0.01923924723,0.02195064183,0.02497477173,0.02883882564,0.03624401724,0.04891285292,0.08299927087,0.01126924551,0.06376002364,0.5478502734,0.605218091,0.7061845155,0.7452407768
rotation_sigma0.0063,rotation,0.0063,overall,all,nicp_p2p,1350,0.02380349515,0.002883850789,0.1211524094,0.01854558501,0.01984761833,0.02190884695,0.02320412056,0.02535451566,0.02946053485,0.03530483273,0.003445668715,0.01675924772,0.175656707,0.1850506353,0.1856197748,0.5996311032
