method,scenario,ordered_pair_label,n_rows,metric_spearman_mean,metric_spearman_median,latent_spearman_mean,delta_spearman_mean,model_beats_metric_rate
nicp_correspondence,clean,remesh__to__noisy,1,0.300657,0.300657,0.784484,0.483826,1.0
nicp_correspondence,clean,remesh__to__original,1,0.332472,0.332472,0.770669,0.438197,1.0
nicp_correspondence,clean,remesh__to__up60k,1,0.266062,0.266062,0.805621,0.539559,1.0
nicp_correspondence,clean,up60k__to__crop,1,0.051621,0.051621,0.70522,0.653599,1.0
nicp_correspondence,clean,up60k__to__down8k,1,0.306366,0.306366,0.798419,0.492054,1.0
nicp_correspondence,clean,up60k__to__noisy,1,0.364949,0.364949,0.797932,0.432983,1.0
nicp_correspondence,clean,up60k__to__original,1,0.382553,0.382553,0.788413,0.405861,1.0
nicp_correspondence,clean,up60k__to__remesh,1,0.331506,0.331506,0.800763,0.469257,1.0
nicp_correspondence,jitter,crop__to__down8k,1,-0.08005,-0.08005,0.585308,0.665358,1.0
nicp_correspondence,jitter,crop__to__noisy,1,-0.058463,-0.058463,0.656367,0.71483,1.0
nicp_correspondence,jitter,crop__to__original,1,-0.049174,-0.049174,0.686659,0.735833,1.0
nicp_correspondence,jitter,crop__to__remesh,1,-0.014463,-0.014463,0.563534,0.577997,1.0
nicp_correspondence,jitter,crop__to__up60k,1,-0.069861,-0.069861,0.627666,0.697527,1.0
nicp_correspondence,jitter,down8k__to__crop,1,0.030085,0.030085,0.608533,0.578448,1.0
nicp_correspondence,jitter,down8k__to__noisy,1,0.240581,0.240581,0.692082,0.451501,1.0
nicp_correspondence,jitter,down8k__to__original,1,0.257984,0.257984,0.710318,0.452334,1.0
nicp_correspondence,jitter,down8k__to__remesh,1,0.221056,0.221056,0.700946,0.47989,1.0
nicp_correspondence,jitter,down8k__to__up60k,1,0.232464,0.232464,0.732286,0.499822,1.0
nicp_correspondence,jitter,noisy__to__crop,1,0.042666,0.042666,0.673984,0.631318,1.0
nicp_correspondence,jitter,noisy__to__down8k,1,0.177221,0.177221,0.684142,0.50692,1.0
nicp_correspondence,jitter,noisy__to__original,1,0.294417,0.294417,0.754559,0.460142,1.0
nicp_correspondence,jitter,noisy__to__remesh,1,0.212273,0.212273,0.667592,0.455319,1.0
nicp_correspondence,jitter,noisy__to__up60k,1,0.172602,0.172602,0.718296,0.545694,1.0
nicp_correspondence,jitter,original__to__crop,1,0.085721,0.085721,0.70845,0.622729,1.0
nicp_correspondence,jitter,original__to__down8k,1,0.161548,0.161548,0.68905,0.527502,1.0
nicp_correspondence,jitter,original__to__noisy,1,0.242904,0.242904,0.756498,0.513594,1.0
nicp_correspondence,jitter,original__to__remesh,1,0.231876,0.231876,0.673952,0.442076,1.0
nicp_correspondence,jitter,original__to__up60k,1,0.19364,0.19364,0.731994,0.538354,1.0
nicp_correspondence,jitter,remesh__to__crop,1,0.089834,0.089834,0.609802,0.519968,1.0
nicp_correspondence,jitter,remesh__to__down8k,1,0.191765,0.191765,0.716177,0.524412,1.0
nicp_correspondence,jitter,remesh__to__noisy,1,0.221387,0.221387,0.69287,0.471484,1.0
nicp_correspondence,jitter,remesh__to__original,1,0.254637,0.254637,0.709636,0.454999,1.0
nicp_correspondence,jitter,remesh__to__up60k,1,0.193731,0.193731,0.754749,0.561018,1.0
nicp_correspondence,jitter,up60k__to__crop,1,0.048236,0.048236,0.641056,0.59282,1.0
nicp_correspondence,jitter,up60k__to__down8k,1,0.210631,0.210631,0.718561,0.50793,1.0
nicp_correspondence,jitter,up60k__to__noisy,1,0.239198,0.239198,0.725034,0.485836,1.0
nicp_correspondence,jitter,up60k__to__original,1,0.276539,0.276539,0.742175,0.465635,1.0
nicp_correspondence,jitter,up60k__to__remesh,1,0.22095,0.22095,0.729244,0.508293,1.0
nicp_correspondence,mixed,crop__to__down8k,1,-0.066511,-0.066511,0.577439,0.64395,1.0
nicp_correspondence,mixed,crop__to__noisy,1,-0.035688,-0.035688,0.651342,0.68703,1.0
nicp_correspondence,mixed,crop__to__original,1,-0.012885,-0.012885,0.665837,0.678722,1.0
nicp_correspondence,mixed,crop__to__remesh,1,0.012373,0.012373,0.539709,0.527336,1.0
nicp_correspondence,mixed,crop__to__up60k,1,-0.061966,-0.061966,0.588944,0.65091,1.0
nicp_correspondence,mixed,down8k__to__crop,1,0.032742,0.032742,0.612455,0.579713,1.0
nicp_correspondence,mixed,down8k__to__noisy,1,0.219692,0.219692,0.717819,0.498126,1.0
nicp_correspondence,mixed,down8k__to__original,1,0.242601,0.242601,0.702025,0.459424,1.0
nicp_correspondence,mixed,down8k__to__remesh,1,0.222089,0.222089,0.696967,0.474878,1.0
nicp_correspondence,mixed,down8k__to__up60k,1,0.241264,0.241264,0.726479,0.485215,1.0
nicp_correspondence,mixed,noisy__to__crop,1,0.059956,0.059956,0.680382,0.620426,1.0
nicp_correspondence,mixed,noisy__to__down8k,1,0.14266,0.14266,0.69149,0.54883,1.0
nicp_correspondence,mixed,noisy__to__original,1,0.279037,0.279037,0.755781,0.476743,1.0
nicp_correspondence,mixed,noisy__to__remesh,1,0.198187,0.198187,0.664542,0.466355,1.0
nicp_correspondence,mixed,noisy__to__up60k,1,0.180873,0.180873,0.717892,0.537018,1.0
nicp_correspondence,mixed,original__to__crop,1,0.097031,0.097031,0.677128,0.580098,1.0
nicp_correspondence,mixed,original__to__down8k,1,0.106964,0.106964,0.685209,0.578245,1.0
nicp_correspondence,mixed,original__to__noisy,1,0.198735,0.198735,0.755198,0.556463,1.0
nicp_correspondence,mixed,original__to__remesh,1,0.199122,0.199122,0.673802,0.474679,1.0
nicp_correspondence,mixed,original__to__up60k,1,0.141738,0.141738,0.720967,0.579229,1.0
nicp_correspondence,mixed,remesh__to__crop,1,0.074677,0.074677,0.577727,0.503049,1.0
nicp_correspondence,mixed,remesh__to__down8k,1,0.179548,0.179548,0.690387,0.510839,1.0
nicp_correspondence,mixed,remesh__to__noisy,1,0.21489,0.21489,0.685987,0.471097,1.0
nicp_correspondence,mixed,remesh__to__original,1,0.244327,0.244327,0.670808,0.426481,1.0
nicp_correspondence,mixed,remesh__to__up60k,1,0.18425,0.18425,0.728187,0.543937,1.0
nicp_correspondence,mixed,up60k__to__crop,1,0.054036,0.054036,0.608723,0.554687,1.0
nicp_correspondence,mixed,up60k__to__down8k,1,0.205003,0.205003,0.692304,0.4873,1.0
nicp_correspondence,mixed,up60k__to__noisy,1,0.204686,0.204686,0.723521,0.518835,1.0
nicp_correspondence,mixed,up60k__to__original,1,0.265718,0.265718,0.707648,0.44193,1.0
nicp_correspondence,mixed,up60k__to__remesh,1,0.242314,0.242314,0.710397,0.468083,1.0
nicp_correspondence,rotation,crop__to__down8k,1,-0.089762,-0.089762,0.6663,0.756062,1.0
nicp_correspondence,rotation,crop__to__noisy,1,-0.056078,-0.056078,0.729515,0.785593,1.0
nicp_correspondence,rotation,crop__to__original,1,-0.044373,-0.044373,0.757893,0.802266,1.0
nicp_correspondence,rotation,crop__to__remesh,1,0.021674,0.021674,0.651691,0.630017,1.0
nicp_correspondence,rotation,crop__to__up60k,1,-0.072336,-0.072336,0.675438,0.747774,1.0
nicp_correspondence,rotation,down8k__to__crop,1,0.02798,0.02798,0.6951,0.66712,1.0
nicp_correspondence,rotation,down8k__to__noisy,1,0.33847,0.33847,0.788279,0.449809,1.0
nicp_correspondence,rotation,down8k__to__original,1,0.350527,0.350527,0.775735,0.425207,1.0
nicp_correspondence,rotation,down8k__to__remesh,1,0.284705,0.284705,0.781368,0.496663,1.0
nicp_correspondence,rotation,down8k__to__up60k,1,0.362828,0.362828,0.788502,0.425674,1.0
nicp_correspondence,rotation,noisy__to__crop,1,0.04071,0.04071,0.747052,0.706342,1.0
nicp_correspondence,rotation,noisy__to__down8k,1,0.230438,0.230438,0.771979,0.541542,1.0
nicp_correspondence,rotation,noisy__to__original,1,0.390103,0.390103,0.815636,0.425533,1.0
nicp_correspondence,rotation,noisy__to__remesh,1,0.333751,0.333751,0.760151,0.4264,1.0
nicp_correspondence,rotation,noisy__to__up60k,1,0.307513,0.307513,0.777942,0.470429,1.0
nicp_correspondence,rotation,original__to__crop,1,0.083516,0.083516,0.775261,0.691745,1.0
nicp_correspondence,rotation,original__to__down8k,1,0.241895,0.241895,0.770628,0.528733,1.0
nicp_correspondence,rotation,original__to__noisy,1,0.34863,0.34863,0.820468,0.471838,1.0
nicp_correspondence,rotation,original__to__remesh,1,0.36577,0.36577,0.757792,0.392022,1.0
nicp_correspondence,rotation,original__to__up60k,1,0.316786,0.316786,0.779443,0.462657,1.0
nicp_correspondence,rotation,remesh__to__crop,1,0.096297,0.096297,0.681988,0.585691,1.0
nicp_correspondence,rotation,remesh__to__down8k,1,0.17656,0.17656,0.784779,0.608218,1.0
nicp_correspondence,rotation,remesh__to__noisy,1,0.298525,0.298525,0.775476,0.476951,1.0
nicp_correspondence,rotation,remesh__to__original,1,0.33599,0.33599,0.761318,0.425328,1.0
nicp_correspondence,rotation,remesh__to__up60k,1,0.261953,0.261953,0.789653,0.5277,1.0
nicp_correspondence,rotation,up60k__to__crop,1,0.043241,0.043241,0.700078,0.656837,1.0
nicp_correspondence,rotation,up60k__to__down8k,1,0.302245,0.302245,0.785523,0.483277,1.0
nicp_correspondence,rotation,up60k__to__noisy,1,0.363801,0.363801,0.787786,0.423985,1.0
nicp_correspondence,rotation,up60k__to__original,1,0.383613,0.383613,0.778567,0.394954,1.0
nicp_correspondence,rotation,up60k__to__remesh,1,0.331722,0.331722,0.783964,0.452242,1.0
nicp_correspondence,translation,crop__to__down8k,1,-0.084509,-0.084509,0.661679,0.746188,1.0
nicp_correspondence,translation,crop__to__noisy,1,-0.051197,-0.051197,0.736755,0.787953,1.0
nicp_correspondence,translation,crop__to__original,1,-0.041654,-0.041654,0.759946,0.8016,1.0
nicp_correspondence,translation,crop__to__remesh,1,0.018481,0.018481,0.65396,0.635479,1.0
nicp_correspondence,translation,crop__to__up60k,1,-0.055708,-0.055708,0.680596,0.736304,1.0
nicp_correspondence,translation,down8k__to__crop,1,0.035248,0.035248,0.696834,0.661586,1.0
nicp_correspondence,translation,down8k__to__noisy,1,0.32592,0.32592,0.790552,0.464633,1.0
nicp_correspondence,translation,down8k__to__original,1,0.352733,0.352733,0.783585,0.430852,1.0
nicp_correspondence,translation,down8k__to__remesh,1,0.282728,0.282728,0.79336,0.510632,1.0
nicp_correspondence,translation,down8k__to__up60k,1,0.361889,0.361889,0.798981,0.437092,1.0
nicp_correspondence,translation,noisy__to__crop,1,0.047453,0.047453,0.747058,0.699605,1.0
nicp_correspondence,translation,noisy__to__down8k,1,0.227748,0.227748,0.771426,0.543677,1.0
nicp_correspondence,translation,noisy__to__original,1,0.388653,0.388653,0.817885,0.429232,1.0
nicp_correspondence,translation,noisy__to__remesh,1,0.331133,0.331133,0.76439,0.433256,1.0
nicp_correspondence,translation,noisy__to__up60k,1,0.311306,0.311306,0.781858,0.470552,1.0
nicp_correspondence,translation,original__to__crop,1,0.08322,0.08322,0.769881,0.686661,1.0
nicp_correspondence,translation,original__to__down8k,1,0.240031,0.240031,0.768759,0.528728,1.0
nicp_correspondence,translation,original__to__noisy,1,0.347035,0.347035,0.820942,0.473906,1.0
nicp_correspondence,translation,original__to__remesh,1,0.357082,0.357082,0.759596,0.402514,1.0
nicp_correspondence,translation,original__to__up60k,1,0.317979,0.317979,0.78131,0.463331,1.0
nicp_correspondence,translation,remesh__to__crop,1,0.09634,0.09634,0.686326,0.589986,1.0
nicp_correspondence,translation,remesh__to__down8k,1,0.175933,0.175933,0.79284,0.616907,1.0
nicp_correspondence,translation,remesh__to__noisy,1,0.299326,0.299326,0.780639,0.481313,1.0
nicp_correspondence,translation,remesh__to__original,1,0.335604,0.335604,0.771328,0.435724,1.0
nicp_correspondence,translation,remesh__to__up60k,1,0.264552,0.264552,0.798317,0.533764,1.0
nicp_correspondence,translation,up60k__to__crop,1,0.048593,0.048593,0.706223,0.65763,1.0
nicp_correspondence,translation,up60k__to__down8k,1,0.308974,0.308974,0.794037,0.485064,1.0
nicp_correspondence,translation,up60k__to__noisy,1,0.364041,0.364041,0.794174,0.430133,1.0
nicp_correspondence,translation,up60k__to__original,1,0.384705,0.384705,0.788932,0.404227,1.0
nicp_correspondence,translation,up60k__to__remesh,1,0.330812,0.330812,0.7948,0.463988,1.0
raw_chamfer,,crop__to__down8k,1,-0.09308,-0.09308,0.667637,0.760717,1.0
raw_chamfer,,crop__to__noisy,1,-0.047672,-0.047672,0.736932,0.784604,1.0
raw_chamfer,,crop__to__original,1,-0.034682,-0.034682,0.759814,0.794496,1.0
raw_chamfer,,crop__to__remesh,1,-0.008462,-0.008462,0.658349,0.666811,1.0
raw_chamfer,,crop__to__up60k,1,-0.074077,-0.074077,0.686665,0.760743,1.0
raw_chamfer,,down8k__to__crop,1,0.036874,0.036874,0.692248,0.655374,1.0
raw_chamfer,,down8k__to__noisy,1,0.471887,0.471887,0.793218,0.321331,1.0
raw_chamfer,,down8k__to__original,1,0.406846,0.406846,0.780879,0.374034,1.0
raw_chamfer,,down8k__to__remesh,1,0.43645,0.43645,0.795255,0.358806,1.0
raw_chamfer,,down8k__to__up60k,1,0.611294,0.611294,0.803707,0.192413,1.0
raw_chamfer,,noisy__to__crop,1,0.083388,0.083388,0.747472,0.664084,1.0
raw_chamfer,,noisy__to__down8k,1,0.313111,0.313111,0.779347,0.466236,1.0
raw_chamfer,,noisy__to__original,1,0.658937,0.658937,0.820523,0.161587,1.0
raw_chamfer,,noisy__to__remesh,1,0.578866,0.578866,0.770576,0.19171,1.0
raw_chamfer,,noisy__to__up60k,1,0.489375,0.489375,0.790981,0.301605,1.0
raw_chamfer,,original__to__crop,1,0.092863,0.092863,0.770836,0.677972,1.0
raw_chamfer,,original__to__down8k,1,0.240268,0.240268,0.772341,0.532073,1.0
raw_chamfer,,original__to__noisy,1,0.627356,0.627356,0.822388,0.195032,1.0
raw_chamfer,,original__to__remesh,1,0.55316,0.55316,0.761843,0.208683,1.0
raw_chamfer,,original__to__up60k,1,0.413965,0.413965,0.786672,0.372708,1.0
raw_chamfer,,remesh__to__crop,1,0.10185,0.10185,0.684899,0.583049,1.0
raw_chamfer,,remesh__to__down8k,1,0.338333,0.338333,0.795735,0.457401,1.0
raw_chamfer,,remesh__to__noisy,1,0.621048,0.621048,0.784484,0.163436,1.0
raw_chamfer,,remesh__to__original,1,0.622336,0.622336,0.770669,0.148333,1.0
raw_chamfer,,remesh__to__up60k,1,0.525408,0.525408,0.805621,0.280213,1.0
raw_chamfer,,up60k__to__crop,1,0.061105,0.061105,0.70522,0.644115,1.0
raw_chamfer,,up60k__to__down8k,1,0.563795,0.563795,0.798419,0.234624,1.0
raw_chamfer,,up60k__to__noisy,1,0.59689,0.59689,0.797932,0.201042,1.0
raw_chamfer,,up60k__to__original,1,0.5393,0.5393,0.788413,0.249113,1.0
raw_chamfer,,up60k__to__remesh,1,0.573409,0.573409,0.800763,0.227354,1.0
raw_chamfer,clean,crop__to__down8k,1,-0.09308,-0.09308,0.667637,0.760717,1.0
raw_chamfer,clean,crop__to__noisy,1,-0.047672,-0.047672,0.736932,0.784604,1.0
raw_chamfer,clean,crop__to__original,1,-0.034682,-0.034682,0.759814,0.794496,1.0
raw_chamfer,clean,crop__to__remesh,1,-0.008462,-0.008462,0.658349,0.666811,1.0
raw_chamfer,clean,crop__to__up60k,1,-0.074077,-0.074077,0.686665,0.760743,1.0
raw_chamfer,clean,down8k__to__crop,1,0.036874,0.036874,0.692248,0.655374,1.0
raw_chamfer,clean,down8k__to__noisy,1,0.471887,0.471887,0.793218,0.321331,1.0
raw_chamfer,clean,down8k__to__original,1,0.406846,0.406846,0.780879,0.374034,1.0
raw_chamfer,clean,down8k__to__remesh,1,0.43645,0.43645,0.795255,0.358806,1.0
raw_chamfer,clean,down8k__to__up60k,1,0.611294,0.611294,0.803707,0.192413,1.0
raw_chamfer,clean,noisy__to__crop,1,0.083388,0.083388,0.747472,0.664084,1.0
raw_chamfer,clean,noisy__to__down8k,1,0.313111,0.313111,0.779347,0.466236,1.0
raw_chamfer,clean,noisy__to__original,1,0.658937,0.658937,0.820523,0.161587,1.0
raw_chamfer,clean,noisy__to__remesh,1,0.578866,0.578866,0.770576,0.19171,1.0
raw_chamfer,clean,noisy__to__up60k,1,0.489375,0.489375,0.790981,0.301605,1.0
raw_chamfer,clean,original__to__crop,1,0.092863,0.092863,0.770836,0.677972,1.0
raw_chamfer,clean,original__to__down8k,1,0.240268,0.240268,0.772341,0.532073,1.0
raw_chamfer,clean,original__to__noisy,1,0.627356,0.627356,0.822388,0.195032,1.0
raw_chamfer,clean,original__to__remesh,1,0.55316,0.55316,0.761843,0.208683,1.0
raw_chamfer,clean,original__to__up60k,1,0.413965,0.413965,0.786672,0.372708,1.0
raw_chamfer,clean,remesh__to__crop,1,0.10185,0.10185,0.684899,0.583049,1.0
raw_chamfer,clean,remesh__to__down8k,1,0.338333,0.338333,0.795735,0.457401,1.0
raw_chamfer,clean,remesh__to__noisy,1,0.621048,0.621048,0.784484,0.163436,1.0
raw_chamfer,clean,remesh__to__original,1,0.622336,0.622336,0.770669,0.148333,1.0
raw_chamfer,clean,remesh__to__up60k,1,0.525408,0.525408,0.805621,0.280213,1.0
raw_chamfer,clean,up60k__to__crop,1,0.061105,0.061105,0.70522,0.644115,1.0
raw_chamfer,clean,up60k__to__down8k,1,0.563795,0.563795,0.798419,0.234624,1.0
raw_chamfer,clean,up60k__to__noisy,1,0.59689,0.59689,0.797932,0.201042,1.0
raw_chamfer,clean,up60k__to__original,1,0.5393,0.5393,0.788413,0.249113,1.0
raw_chamfer,clean,up60k__to__remesh,1,0.573409,0.573409,0.800763,0.227354,1.0
raw_chamfer,jitter,crop__to__down8k,1,-0.092051,-0.092051,0.585308,0.677359,1.0
raw_chamfer,jitter,crop__to__noisy,1,-0.049436,-0.049436,0.656367,0.705803,1.0
raw_chamfer,jitter,crop__to__original,1,-0.041508,-0.041508,0.686659,0.728167,1.0
raw_chamfer,jitter,crop__to__remesh,1,-0.013662,-0.013662,0.563534,0.577196,1.0
raw_chamfer,jitter,crop__to__up60k,1,-0.069524,-0.069524,0.627666,0.697191,1.0
raw_chamfer,jitter,down8k__to__crop,1,0.044194,0.044194,0.608533,0.564339,1.0
raw_chamfer,jitter,down8k__to__noisy,1,0.495489,0.495489,0.692082,0.196593,1.0
raw_chamfer,jitter,down8k__to__original,1,0.441461,0.441461,0.710318,0.268856,1.0
raw_chamfer,jitter,down8k__to__remesh,1,0.406858,0.406858,0.700946,0.294088,1.0
raw_chamfer,jitter,down8k__to__up60k,1,0.576307,0.576307,0.732286,0.15598,1.0
raw_chamfer,jitter,noisy__to__crop,1,0.089186,0.089186,0.673984,0.584798,1.0
raw_chamfer,jitter,noisy__to__down8k,1,0.326846,0.326846,0.684142,0.357296,1.0
raw_chamfer,jitter,noisy__to__original,1,0.658773,0.658773,0.754559,0.095786,1.0
raw_chamfer,jitter,noisy__to__remesh,1,0.561662,0.561662,0.667592,0.10593,1.0
raw_chamfer,jitter,noisy__to__up60k,1,0.532469,0.532469,0.718296,0.185827,1.0
raw_chamfer,jitter,original__to__crop,1,0.100247,0.100247,0.70845,0.608203,1.0
raw_chamfer,jitter,original__to__down8k,1,0.260902,0.260902,0.68905,0.428148,1.0
raw_chamfer,jitter,original__to__noisy,1,0.625148,0.625148,0.756498,0.13135,1.0
raw_chamfer,jitter,original__to__remesh,1,0.548717,0.548717,0.673952,0.125235,1.0
raw_chamfer,jitter,original__to__up60k,1,0.473179,0.473179,0.731994,0.258815,1.0
raw_chamfer,jitter,remesh__to__crop,1,0.120985,0.120985,0.609802,0.488817,1.0
raw_chamfer,jitter,remesh__to__down8k,1,0.310134,0.310134,0.716177,0.406043,1.0
raw_chamfer,jitter,remesh__to__noisy,1,0.597954,0.597954,0.69287,0.094916,1.0
raw_chamfer,jitter,remesh__to__original,1,0.616533,0.616533,0.709636,0.093103,1.0
raw_chamfer,jitter,remesh__to__up60k,1,0.531633,0.531633,0.754749,0.223116,1.0
raw_chamfer,jitter,up60k__to__crop,1,0.081299,0.081299,0.641056,0.559757,1.0
raw_chamfer,jitter,up60k__to__down8k,1,0.502632,0.502632,0.718561,0.215929,1.0
raw_chamfer,jitter,up60k__to__noisy,1,0.629938,0.629938,0.725033,0.095095,1.0
raw_chamfer,jitter,up60k__to__original,1,0.592751,0.592751,0.742174,0.149423,1.0
raw_chamfer,jitter,up60k__to__remesh,1,0.573738,0.573738,0.729244,0.155505,1.0
raw_chamfer,mixed,crop__to__down8k,1,-0.092869,-0.092869,0.557201,0.650069,1.0
raw_chamfer,mixed,crop__to__noisy,1,-0.049825,-0.049825,0.629624,0.679449,1.0
raw_chamfer,mixed,crop__to__original,1,-0.035937,-0.035937,0.641521,0.677458,1.0
raw_chamfer,mixed,crop__to__remesh,1,-0.021222,-0.021222,0.517617,0.538839,1.0
raw_chamfer,mixed,crop__to__up60k,1,-0.072984,-0.072984,0.568945,0.641929,1.0
raw_chamfer,mixed,down8k__to__crop,1,0.035193,0.035193,0.586943,0.55175,1.0
raw_chamfer,mixed,down8k__to__noisy,1,0.461359,0.461359,0.680996,0.219637,1.0
raw_chamfer,mixed,down8k__to__original,1,0.416477,0.416477,0.667058,0.25058,1.0
raw_chamfer,mixed,down8k__to__remesh,1,0.369064,0.369064,0.656871,0.287807,1.0
raw_chamfer,mixed,down8k__to__up60k,1,0.543554,0.543554,0.6954,0.151846,1.0
raw_chamfer,mixed,noisy__to__crop,1,0.082538,0.082538,0.654093,0.571555,1.0
raw_chamfer,mixed,noisy__to__down8k,1,0.297456,0.297456,0.663189,0.365733,1.0
raw_chamfer,mixed,noisy__to__original,1,0.627197,0.627197,0.723391,0.096194,1.0
raw_chamfer,mixed,noisy__to__remesh,1,0.495164,0.495164,0.629504,0.134341,1.0
raw_chamfer,mixed,noisy__to__up60k,1,0.491195,0.491195,0.688354,0.197159,1.0
raw_chamfer,mixed,original__to__crop,1,0.097303,0.097303,0.650026,0.552723,1.0
raw_chamfer,mixed,original__to__down8k,1,0.258854,0.258854,0.655636,0.396782,1.0
raw_chamfer,mixed,original__to__noisy,1,0.592602,0.592602,0.721221,0.128619,1.0
raw_chamfer,mixed,original__to__remesh,1,0.497127,0.497127,0.640104,0.142977,1.0
raw_chamfer,mixed,original__to__up60k,1,0.453888,0.453888,0.690515,0.236627,1.0
raw_chamfer,mixed,remesh__to__crop,1,0.112102,0.112102,0.551475,0.439373,1.0
raw_chamfer,mixed,remesh__to__down8k,1,0.29362,0.29362,0.652251,0.35863,1.0
raw_chamfer,mixed,remesh__to__noisy,1,0.55452,0.55452,0.646779,0.092259,1.0
raw_chamfer,mixed,remesh__to__original,1,0.56291,0.56291,0.632671,0.069762,1.0
raw_chamfer,mixed,remesh__to__up60k,1,0.505645,0.505645,0.68818,0.182535,1.0
raw_chamfer,mixed,up60k__to__crop,1,0.082015,0.082015,0.586357,0.504342,1.0
raw_chamfer,mixed,up60k__to__down8k,1,0.487648,0.487648,0.666299,0.178651,1.0
raw_chamfer,mixed,up60k__to__noisy,1,0.604862,0.604862,0.690982,0.08612,1.0
raw_chamfer,mixed,up60k__to__original,1,0.567535,0.567535,0.676367,0.108832,1.0
raw_chamfer,mixed,up60k__to__remesh,1,0.54859,0.54859,0.673376,0.124785,1.0
raw_chamfer,rotation,crop__to__down8k,1,-0.097146,-0.097146,0.647566,0.744712,1.0
raw_chamfer,rotation,crop__to__noisy,1,-0.049561,-0.049561,0.707703,0.757264,1.0
raw_chamfer,rotation,crop__to__original,1,-0.030626,-0.030626,0.739227,0.769852,1.0
raw_chamfer,rotation,crop__to__remesh,1,-0.012758,-0.012758,0.631721,0.644479,1.0
raw_chamfer,rotation,crop__to__up60k,1,-0.081279,-0.081279,0.649571,0.730851,1.0
raw_chamfer,rotation,down8k__to__crop,1,0.036319,0.036319,0.684811,0.648491,1.0
raw_chamfer,rotation,down8k__to__noisy,1,0.465001,0.465001,0.768719,0.303718,1.0
raw_chamfer,rotation,down8k__to__original,1,0.406621,0.406621,0.753201,0.346581,1.0
raw_chamfer,rotation,down8k__to__remesh,1,0.424294,0.424294,0.750316,0.326023,1.0
raw_chamfer,rotation,down8k__to__up60k,1,0.579386,0.579386,0.758055,0.178669,1.0
raw_chamfer,rotation,noisy__to__crop,1,0.082628,0.082628,0.733518,0.650889,1.0
raw_chamfer,rotation,noisy__to__down8k,1,0.295289,0.295289,0.747349,0.452061,1.0
raw_chamfer,rotation,noisy__to__original,1,0.652747,0.652747,0.794771,0.142024,1.0
raw_chamfer,rotation,noisy__to__remesh,1,0.560622,0.560622,0.734756,0.174134,1.0
raw_chamfer,rotation,noisy__to__up60k,1,0.463129,0.463129,0.751506,0.288377,1.0
raw_chamfer,rotation,original__to__crop,1,0.09415,0.09415,0.762623,0.668473,1.0
raw_chamfer,rotation,original__to__down8k,1,0.233431,0.233431,0.748705,0.515274,1.0
raw_chamfer,rotation,original__to__noisy,1,0.619327,0.619327,0.800836,0.181509,1.0
raw_chamfer,rotation,original__to__remesh,1,0.545176,0.545176,0.736558,0.191381,1.0
raw_chamfer,rotation,original__to__up60k,1,0.402548,0.402548,0.755643,0.353095,1.0
raw_chamfer,rotation,remesh__to__crop,1,0.098177,0.098177,0.668051,0.569874,1.0
raw_chamfer,rotation,remesh__to__down8k,1,0.323729,0.323729,0.753822,0.430093,1.0
raw_chamfer,rotation,remesh__to__noisy,1,0.599563,0.599563,0.753387,0.153824,1.0
